scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,2470,-4626.675264712811,2301828.489906874,2337483.083393965,4553808.002113653,2301828.4899068717,8783386.773904052,9.07138991355896
learn,0,10000000,201,6691,-2939.9500003624325,1462661.6917226077,710152.9288563551,5820068.776180409,1462661.6917226033,9234828.623821456,49.23853826522827
dynamic_partition,1,10000001,201,2756,-3443.404632096211,1713136.6328836856,1553750.8732339237,3456172.085487456,1713136.6328836873,8203387.085487456,7.92925238609314
learn,1,10000001,201,6847,-2403.975214293164,1196007.569300084,679459.6596917715,5106969.931964974,1196007.5693000813,8609540.15308764,44.82709288597107
dynamic_partition,2,10000002,201,2444,-4690.383076737385,2333523.9187748176,2195402.3977060383,4804256.405212415,2333523.9187748185,8811222.061319478,6.97268533706665
learn,2,10000002,201,7220,-3086.39446283681,1535519.6332521432,595366.367994437,5992706.346052046,1535519.633252144,9277856.871348938,50.989386320114136
dynamic_partition,3,10000003,201,2749,-3268.66553930216,1626201.7608468453,1467442.6778523219,3335231.5357946353,1626201.7608468458,8023179.934467781,6.640986680984497
learn,3,10000003,201,6274,-2468.7600888239404,1228238.8501611624,781780.8447926838,4154532.750087181,1228238.8501611643,8370285.759849426,57.61063861846924
dynamic_partition,4,10000004,201,2473,-4138.850704428312,2059129.7036956798,1945104.3432531059,4228311.8968279,2059129.7036956777,7850552.206260796,17.456328630447388
learn,4,10000004,201,6594,-2790.611667909104,1388364.0138851271,656675.6693821568,5415844.365653434,1388364.0138851264,8243283.807810254,55.514896869659424
dynamic_partition,5,10000005,201,2515,-5331.738530299642,2652606.2339799195,2729107.5019312333,4830501.220673861,2652606.2339799213,9137675.49915638,9.859744310379028
learn,5,10000005,201,7235,-3405.9364387239198,1694495.7406586658,632906.4483214249,6241439.225387142,1694495.7406586667,9692625.031006668,59.880789279937744
dynamic_partition,6,10000006,201,2521,-3678.193813420052,1829947.1708557447,1825275.8706253693,3480699.8779966347,1829947.1708557473,7798683.6606635535,7.678717136383057
learn,6,10000006,201,6572,-2371.532744733054,1179867.0371806268,598126.9144290923,4846156.018524861,1179867.037180624,8182899.222559714,44.978726387023926
dynamic_partition,7,10000007,201,2456,-4739.236486943244,2357829.0979817207,2530381.600919539,4797418.1186413225,2357829.0979817132,8449812.832483828,7.522096872329712
learn,7,10000007,201,6687,-2989.4874705082957,1487307.1992578546,706754.9120132783,5742488.575191564,1487307.1992578586,8871043.831370851,50.684447050094604
