scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3437,-193.01666000000048,96028.18905472636,75967.0,241881.0,96028.18905472661,5329767.0,3.6754865646362305
learn,0,10000000,201,6084,-200.61022,99806.07960199004,74861.0,281072.0,99806.07960199004,5325588.0,23.94959568977356
dynamic_partition,1,10000001,201,3598,-248.5496500000005,123656.54228855722,98116.0,292838.0,123656.54228855745,5550057.0,3.9346978664398193
learn,1,10000001,201,6479,-248.9614000000001,123861.39303482587,88158.0,284350.0,123861.39303482593,5607182.0,29.219547510147095
dynamic_partition,2,10000002,201,3507,-166.13179000000028,82652.63184079602,61553.0,193904.0,82652.63184079615,5569631.0,3.9537220001220703
learn,2,10000002,201,5987,-166.97448999999995,83071.8855721393,59653.0,200636.0,83071.88557213928,5575673.0,22.43343496322632
dynamic_partition,3,10000003,201,3667,-200.00336000000033,99504.1592039801,83372.0,247527.0,99504.15920398026,5451877.0,3.7425284385681152
learn,3,10000003,201,6435,-198.21056000000047,98612.21890547263,76595.0,242515.0,98612.21890547288,5449583.0,24.951461791992188
dynamic_partition,4,10000004,201,3489,-295.65465999999975,147091.87064676618,103451.0,402009.0,147091.87064676604,5168394.0,4.06387734413147
learn,4,10000004,201,6300,-284.16623999999996,141376.23880597015,85464.0,473942.0,141376.23880597012,5186727.0,27.908886194229126
dynamic_partition,5,10000005,201,3537,-168.2590400000003,83710.96517412935,62963.0,218532.0,83710.9651741295,5492366.0,3.4917750358581543
learn,5,10000005,201,6061,-174.16091999999983,86647.22388059701,65803.0,215496.0,86647.22388059694,5487437.0,23.46026921272278
dynamic_partition,6,10000006,201,3453,-183.5774799999999,91332.07960199004,63528.0,229753.0,91332.07960199,5175711.0,3.818269729614258
learn,6,10000006,201,5696,-178.7483499999996,88929.52736318408,56187.0,261364.0,88929.52736318388,5168706.0,22.0710711479187
dynamic_partition,7,10000007,201,3270,-522.7523999999997,260075.8208955224,189801.0,744290.0,260075.82089552225,5111693.0,4.450563907623291
learn,7,10000007,201,6254,-436.55489000000074,217191.48756218905,116726.0,725976.0,217191.48756218943,5137587.0,26.7667293548584
dynamic_partition,8,10000008,201,3530,-189.4810100000003,94269.1592039801,77042.0,227476.0,94269.15920398025,5884121.0,3.467332363128662
learn,8,10000008,201,6012,-202.5037800000002,100748.14925373135,70851.0,310331.0,100748.14925373145,5870944.0,21.69580864906311
dynamic_partition,9,10000009,201,3442,-205.94701000000015,102461.19900497512,73224.0,297341.0,102461.1990049752,5175775.0,3.2577686309814453
