scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3639,-153.6679199999998,76451.70149253731,48531.0,204272.0,76451.70149253722,5325733.0,3.4928863048553467
learn,0,10000000,201,5810,-151.0147800000002,75131.73134328358,44465.0,244591.0,75131.73134328368,5319216.0,82.88624048233032
dynamic_partition,1,10000001,201,3777,-109.77098000000029,54612.427860696516,37867.0,154464.0,54612.42786069667,4951992.0,3.3157389163970947
learn,1,10000001,201,5598,-108.06778999999965,53765.069651741294,35592.0,174274.0,53765.06965174112,4948506.0,72.99738192558289
dynamic_partition,2,10000002,201,3471,-157.75465999999975,78484.90547263682,55840.0,221222.0,78484.90547263669,4965201.0,3.4311039447784424
learn,2,10000002,201,5774,-159.04268999999974,79125.71641791044,53772.0,219452.0,79125.71641791031,4956794.0,98.97943902015686
dynamic_partition,3,10000003,201,3773,-94.70493000000018,47116.880597014926,35891.0,128107.0,47116.880597015006,5525608.0,3.824023485183716
learn,3,10000003,201,5666,-91.28345999999996,45414.65671641791,33858.0,116444.0,45414.65671641789,5518585.0,75.48621153831482
dynamic_partition,4,10000004,201,3737,-93.90871999999982,46720.75621890547,36654.0,124499.0,46720.75621890538,5110626.0,3.5397608280181885
learn,4,10000004,201,5564,-97.90289000000013,48707.90547263682,39622.0,133762.0,48707.90547263688,5099634.0,70.15096426010132
dynamic_partition,5,10000005,201,3582,-153.70939000000038,76472.33333333333,54790.0,215802.0,76472.33333333353,4916991.0,3.8256924152374268
learn,5,10000005,201,6198,-160.85175999999936,80025.7512437811,52179.0,218691.0,80025.75124378077,4906288.0,81.54796528816223
dynamic_partition,6,10000006,201,3649,-107.59036999999995,53527.54726368159,39375.0,138884.0,53527.54726368156,5101746.0,3.2233641147613525
learn,6,10000006,201,5602,-105.64679000000024,52560.592039801,34157.0,139417.0,52560.592039801115,5097990.0,69.09438347816467
dynamic_partition,7,10000007,201,3744,-127.24946000000014,63308.18905472637,44831.0,177671.0,63308.18905472644,5020328.0,3.3529207706451416
learn,7,10000007,201,5965,-125.6795499999999,62527.13930348259,38962.0,210498.0,62527.13930348254,5020421.0,76.3749771118164
