prediction,anchor,exp,seed,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_minus_decima,percent_improvement,decima_wins
P1-Decima observation lag,lambda=1.0,0,10000000,2301828.489906874,1462661.6917226077,839166.7981842663,36.45653018302058,True
P1-Decima observation lag,lambda=1.0,1,10000001,1713136.6328836856,1196007.569300084,517129.06358360173,30.186095706396145,True
P1-Decima observation lag,lambda=1.0,2,10000002,2333523.9187748176,1535519.6332521432,798004.2855226744,34.19739044036261,True
P1-Decima observation lag,lambda=1.0,3,10000003,1626201.7608468453,1228238.8501611624,397962.9106856829,24.471927178239156,True
P1-Decima observation lag,lambda=1.0,4,10000004,2059129.7036956798,1388364.0138851271,670765.6898105526,32.57520342728665,True
P1-Decima observation lag,lambda=1.0,5,10000005,2652606.2339799195,1694495.7406586658,958110.4933212537,36.11958989795945,True
P1-Decima observation lag,lambda=1.0,6,10000006,1829947.1708557447,1179867.0371806268,650080.133675118,35.524530108217206,True
P1-Decima observation lag,lambda=1.0,7,10000007,2357829.0979817207,1487307.1992578546,870521.8987238661,36.92048331531002,True
P1-Decima observation lag,lambda=1.0,8,10000008,1454681.5666361258,1061199.8078072187,393481.75882890704,27.049339721738054,True
P1-Decima observation lag,lambda=1.0,9,10000009,2598831.1708210898,1583254.0890120994,1015577.0818089903,39.07822459617964,True
P1-Decima observation lag,lambda=1.0,10,10000010,2704944.9348846,1636417.9232345426,1068527.0116500573,39.50272694536917,True
P1-Decima observation lag,lambda=1.0,11,10000011,1998330.5555945784,1214395.630390915,783934.9252036633,39.229491988146734,True
P1-Decima observation lag,lambda=1.0,12,10000012,2146261.923907705,1432902.7878691975,713359.1360385076,33.2372823695112,True
P1-Decima observation lag,lambda=1.0,13,10000013,2260824.3955491614,1390678.8469041518,870145.5486450095,38.487975906401545,True
P1-Decima observation lag,lambda=1.0,14,10000014,1798934.7308041067,1189042.1746647614,609892.5561393453,33.902984121426634,True
P1-Decima observation lag,lambda=1.0,15,10000015,1915092.9233208767,1296208.7114958738,618884.2118250029,32.31614530494027,True
P1-Decima observation lag,lambda=1.0,16,10000016,1820618.1471060275,1292655.9336773655,527962.2134286619,28.99906354706432,True
P1-Decima observation lag,lambda=1.0,17,10000017,1962732.5371813935,1364549.4937476064,598183.0434337871,30.477053398870908,True
P1-Decima observation lag,lambda=1.0,18,10000018,2418420.44587041,1503350.5093001693,915069.9365702409,37.837504149982465,True
P1-Decima observation lag,lambda=1.0,19,10000019,2455057.0126404488,1596839.839063534,858217.1735769147,34.957117865620965,True
P1-Decima observation lag,lambda=1.0,20,10000020,1830181.0801557095,1276862.241733871,553318.8384218386,30.233010515809884,True
P1-Decima observation lag,lambda=1.0,21,10000021,1902329.409486193,1305586.2020113396,596743.2074748534,31.3690785885516,True
P1-Decima observation lag,lambda=1.0,22,10000022,2609776.555560993,1679198.6996814958,930577.8558794972,35.657376640026634,True
P1-Decima observation lag,lambda=1.0,23,10000023,1951187.3076839722,1379981.3022919958,571206.0053919763,29.27479095125873,True
P1-Decima observation lag,lambda=1.0,24,10000024,2618091.9299418116,1812304.4789609131,805787.4509808985,30.77766069882838,True
P1-Decima observation lag,lambda=1.0,25,10000025,1794582.963314112,1291874.862628642,502708.10068547004,28.012530541196234,True
P1-Decima observation lag,lambda=1.0,26,10000026,2249977.1970958407,1510746.9868422446,739230.2102535961,32.855008984435834,True
P1-Decima observation lag,lambda=1.0,27,10000027,1810984.9836172876,1254159.080489241,556825.9031280465,30.747129775523288,True
P1-Decima observation lag,lambda=1.0,28,10000028,2554265.6996359588,1636105.0912431437,918160.6083928151,35.94616677989584,True
P1-Decima observation lag,lambda=1.0,29,10000029,1883595.516604698,1241251.1949626817,642344.3216420163,34.102030716227404,True
P2-Decima workload tail,w=0.5,0,10000000,96028.18905472636,99806.07960199004,-3777.8905472636834,-3.934147446132372,False
P2-Decima workload tail,w=0.5,1,10000001,123656.54228855722,123861.39303482587,-204.8507462686539,-0.16566106610892203,False
P2-Decima workload tail,w=0.5,2,10000002,82652.63184079602,83071.8855721393,-419.253731343284,-0.5072478903646321,False
P2-Decima workload tail,w=0.5,3,10000003,99504.1592039801,98612.21890547263,891.9402985074703,0.8963849407330033,True
P2-Decima workload tail,w=0.5,4,10000004,147091.87064676618,141376.23880597015,5715.631840796035,3.885756443006861,True
P2-Decima workload tail,w=0.5,5,10000005,83710.96517412935,86647.22388059701,-2936.2587064676627,-3.507615400634642,False
P2-Decima workload tail,w=0.5,6,10000006,91332.07960199004,88929.52736318408,2402.5522388059617,2.630567758093195,True
P2-Decima workload tail,w=0.5,7,10000007,260075.8208955224,217191.48756218905,42884.33333333334,16.489165807751434,True
P2-Decima workload tail,w=0.5,8,10000008,94269.1592039801,100748.14925373135,-6478.990049751243,-6.872862879504388,False
P2-Decima workload tail,w=0.5,9,10000009,102461.19900497512,97322.58208955223,5138.616915422885,5.015183274571453,True
P2-Decima workload tail,w=0.5,10,10000010,238552.09950248757,182264.49253731343,56287.60696517414,23.59551942010353,True
P2-Decima workload tail,w=0.5,11,10000011,119133.85572139303,117368.10945273632,1765.746268656716,1.482153211582523,True
P2-Decima workload tail,w=0.5,12,10000012,344240.2288557214,273848.14925373136,70392.07960199006,20.448533814882197,True
P2-Decima workload tail,w=0.5,13,10000013,182808.64179104476,174558.60199004976,8250.039800995,4.512937528645401,True
P2-Decima workload tail,w=0.5,14,10000014,142724.1542288557,136802.51741293533,5921.636815920385,4.149008167478886,True
P2-Decima workload tail,w=0.5,15,10000015,138369.2039800995,142828.35323383086,-4459.149253731361,-3.2226457372499473,False
P2-Decima workload tail,w=0.5,16,10000016,115180.86069651741,107679.45771144278,7501.40298507463,6.5127165569977725,True
P2-Decima workload tail,w=0.5,17,10000017,182679.87562189053,167733.71144278607,14946.164179104468,8.181615040093376,True
P2-Decima workload tail,w=0.5,18,10000018,96614.97014925373,100235.82587064676,-3620.8557213930326,-3.7477170626864815,False
P2-Decima workload tail,w=0.5,19,10000019,101570.95522388059,111070.09950248756,-9499.144278606967,-9.352225011243767,False
P2-Decima workload tail,w=0.5,20,10000020,107503.12935323383,113433.29353233831,-5930.164179104482,-5.516271214411951,False
P2-Decima workload tail,w=0.5,21,10000021,100354.68159203981,100123.65671641791,231.02487562189344,0.23020836891402033,True
P2-Decima workload tail,w=0.5,22,10000022,144703.12437810947,146369.3432835821,-1666.2189054726332,-1.1514740352936685,False
P2-Decima workload tail,w=0.5,23,10000023,108520.01990049751,114471.2039800995,-5951.184079601982,-5.48395041307461,False
P2-Decima workload tail,w=0.5,24,10000024,268602.7611940298,195742.7014925373,72860.05970149252,27.125581054195045,True
P2-Decima workload tail,w=0.5,25,10000025,118809.42786069652,115353.16417910448,3456.2636815920414,2.9090820011729153,True
P2-Decima workload tail,w=0.5,26,10000026,108931.95522388059,112716.60199004975,-3784.6467661691568,-3.474321890569966,False
P2-Decima workload tail,w=0.5,27,10000027,113178.84577114428,108598.30845771145,4580.537313432826,4.047167367915202,True
P2-Decima workload tail,w=0.5,28,10000028,157558.3830845771,157829.00995024876,-270.62686567165656,-0.17176291122915655,False
P2-Decima workload tail,w=0.5,29,10000029,122393.06467661691,135309.18407960198,-12916.119402985074,-10.552983077196112,False
P3-Decima adversarial node features,epsilon=0.05,0,10000000,76451.70149253731,75131.73134328358,1319.9701492537279,1.726541232548728,True
P3-Decima adversarial node features,epsilon=0.05,1,10000001,54612.427860696516,53765.069651741294,847.3582089552219,1.5515849453106787,True
P3-Decima adversarial node features,epsilon=0.05,2,10000002,78484.90547263682,79125.71641791044,-640.8109452736244,-0.8164766733356624,False
P3-Decima adversarial node features,epsilon=0.05,3,10000003,47116.880597014926,45414.65671641791,1702.2238805970192,3.612768627778943,True
P3-Decima adversarial node features,epsilon=0.05,4,10000004,46720.75621890547,48707.90547263682,-1987.149253731346,-4.253247195787575,False
P3-Decima adversarial node features,epsilon=0.05,5,10000005,76472.33333333333,80025.7512437811,-3553.417910447766,-4.646671228088285,False
P3-Decima adversarial node features,epsilon=0.05,6,10000006,53527.54726368159,52560.592039801,966.9552238805918,1.8064627903036206,True
P3-Decima adversarial node features,epsilon=0.05,7,10000007,63308.18905472637,62527.13930348259,781.0497512437796,1.2337262570701653,True
P3-Decima adversarial node features,epsilon=0.05,8,10000008,49141.522388059704,47111.149253731346,2030.373134328358,4.131685457961501,True
P3-Decima adversarial node features,epsilon=0.05,9,10000009,99199.79104477612,90566.6119402985,8633.179104477618,8.702819848260399,True
P3-Decima adversarial node features,epsilon=0.05,10,10000010,84802.65671641791,76674.33333333333,8128.323383084586,9.584986718359415,True
P3-Decima adversarial node features,epsilon=0.05,11,10000011,56244.18905472637,55661.07960199005,583.1094527363166,1.0367461288648736,True
P3-Decima adversarial node features,epsilon=0.05,12,10000012,60942.383084577115,59017.94527363184,1924.4378109452737,3.157798749475383,True
P3-Decima adversarial node features,epsilon=0.05,13,10000013,70432.184079602,67068.79104477612,3363.3930348258727,4.77536381808718,True
P3-Decima adversarial node features,epsilon=0.05,14,10000014,56473.91044776119,53329.388059701494,3144.522388059697,5.568097486304592,True
P3-Decima adversarial node features,epsilon=0.05,15,10000015,73941.25870646766,70172.71641791044,3768.542288557219,5.096670457717788,True
P3-Decima adversarial node features,epsilon=0.05,16,10000016,50286.13930348259,47716.388059701494,2569.7512437810947,5.110257576689976,True
P3-Decima adversarial node features,epsilon=0.05,17,10000017,60235.71641791045,57853.07960199005,2382.6368159203994,3.9555216698841282,True
P3-Decima adversarial node features,epsilon=0.05,18,10000018,67876.86567164179,68235.31343283581,-358.44776119402377,-0.528085316914949,False
P3-Decima adversarial node features,epsilon=0.05,19,10000019,66674.50746268657,61323.616915422885,5350.890547263683,8.025391938977926,True
P3-Decima adversarial node features,epsilon=0.05,20,10000020,54452.39800995025,51067.930348258706,3384.467661691546,6.215461183312977,True
P3-Decima adversarial node features,epsilon=0.05,21,10000021,66182.30845771145,67491.3383084577,-1309.0298507462576,-1.9779150671099501,False
P3-Decima adversarial node features,epsilon=0.05,22,10000022,79644.07960199004,78056.78606965175,1587.293532338299,1.992983709863398,True
P3-Decima adversarial node features,epsilon=0.05,23,10000023,49864.751243781095,50661.08955223881,-796.3383084577144,-1.5969964525934142,False
P3-Decima adversarial node features,epsilon=0.05,24,10000024,83068.54228855722,76493.13432835821,6575.407960199009,7.915641443854707,True
P3-Decima adversarial node features,epsilon=0.05,25,10000025,46391.12437810945,44278.53731343283,2112.58706467662,4.553860448516063,True
P3-Decima adversarial node features,epsilon=0.05,26,10000026,78716.76616915423,74327.1144278607,4389.651741293535,5.576514324611132,True
P3-Decima adversarial node features,epsilon=0.05,27,10000027,50063.248756218905,49367.00995024876,696.238805970148,1.3907183877747455,True
P3-Decima adversarial node features,epsilon=0.05,28,10000028,80790.96517412935,78119.66666666667,2671.2985074626777,3.3064322250702274,True
P3-Decima adversarial node features,epsilon=0.05,29,10000029,62449.07462686567,62697.96517412936,-248.8905472636834,-0.3985496162285972,False
