cell,parameter,deep_rm_mean,tetris_mean,delta_tetris_minus_deeprm,ci_low,ci_high
P1_lag_0,0,35.19243374958375,59.80496425518927,24.612530505605502,22.44572409847097,26.933083011224888
P1_lag_1,1,36.51630117382617,83.7913081918082,47.27500701798201,44.98028630404317,49.59792703338328
P1_lag_10,10,73.91461745754245,269.6304104201355,195.71579296259296,185.1053735556111,205.91743221903096
P1_lag_2,2,38.375626862026856,106.09496708846707,67.71934022644024,64.98180355838605,70.57425379557941
P1_lag_20,20,136.60855133755132,479.47390226995225,342.86535093240093,324.21173630015824,361.01205223616654
P1_lag_5,5,50.904171631146625,163.03639510489512,112.1322234737485,106.6895460535298,117.79658628364692
P2_tail_1.2,1.2,56.87772895172678,178.07212191941755,121.19439296769082,106.5968263715005,136.16482289982204
P2_tail_1.5,1.5,49.75089408445122,141.53792446034336,91.78703037589214,79.84660937344361,104.56894092451876
P2_tail_2.0,2.0,42.05199796326996,105.25210091721587,63.20010295394593,55.13372875097616,71.52467222668506
P2_tail_3.0,3.0,37.39282487570217,76.35816808372525,38.96534320802308,33.31151953962607,45.5113744698448
P2_tail_inf,inf,35.64861164946165,59.80496425518927,24.1563526057276,22.312401200327447,26.116430669053166
P3_epsilon_0.0,0.0,35.55272326839827,59.80496425518927,24.252240986790984,22.344741892760023,26.23957631986069
P3_epsilon_0.01,0.01,35.471746947496946,59.80496425518927,24.333217307692316,22.395166294053173,26.234188231282605
P3_epsilon_0.02,0.02,35.08260242812742,59.80496425518927,24.722361827061828,22.638115738636365,26.843264281135532
P3_epsilon_0.05,0.05,36.23603820901321,59.80496425518927,23.568926046176045,21.71552176864802,25.36330493444056
P3_epsilon_0.1,0.1,38.82377541347543,59.80496425518927,20.98118884171384,18.949175166292036,23.03314395104895
