scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
srtf,0,10000000,201,3737,-471.2992499999996,234477.23880597015,38822.0,1733510.0,234477.23880596992,5951441.0,6.1856255531311035
learn,0,10000000,201,5858,-149.3259599999999,74291.5223880597,44625.0,228124.0,74291.52238805965,5318439.0,20.609183311462402
srtf,1,10000001,201,3889,-197.7440600000006,98380.12935323383,39802.0,317198.0,98380.12935323412,5429716.0,4.345283269882202
learn,1,10000001,201,5682,-104.41181000000003,51946.17412935323,34384.0,142638.0,51946.174129353254,4938846.0,19.03875756263733
srtf,2,10000002,201,3613,-598.4969800000007,297759.6915422886,46358.0,2163785.0,297759.69154228887,6086397.0,5.63683295249939
learn,2,10000002,201,5808,-156.9884100000002,78103.68656716419,50481.0,238208.0,78103.68656716427,4957039.0,20.773118257522583
srtf,3,10000003,201,3857,-139.4610400000002,69383.60199004975,37867.0,248689.0,69383.60199004985,5712805.0,3.6985652446746826
learn,3,10000003,201,5632,-89.81863000000001,44685.885572139305,33110.0,109787.0,44685.88557213931,5516703.0,18.23232412338257
srtf,4,10000004,201,3772,-338.3865100000005,168351.4975124378,42525.0,1270478.0,168351.49751243807,5223403.0,5.03005313873291
learn,4,10000004,201,5562,-97.57658999999991,48545.567164179105,38918.0,123721.0,48545.56716417906,5102865.0,18.166179180145264
srtf,5,10000005,201,3681,-704.7310200000007,350612.447761194,44209.0,2114704.0,350612.4477611944,6341526.0,7.190218925476074
learn,5,10000005,201,6221,-162.68099999999959,80935.82089552238,50223.0,233939.0,80935.82089552218,4910442.0,21.420355319976807
srtf,6,10000006,201,3728,-353.2908499999997,175766.592039801,38729.0,1140899.0,175766.59203980086,5508564.0,4.912066459655762
learn,6,10000006,201,5529,-107.99558999999982,53729.149253731346,35467.0,146313.0,53729.14925373125,5091295.0,18.149770498275757
srtf,7,10000007,201,3817,-493.12804000000006,245337.33333333334,42055.0,1471286.0,245337.33333333337,5650362.0,6.602320671081543
learn,7,10000007,201,6162,-128.27562999999998,63818.72139303482,41668.0,198323.0,63818.721393034815,5020397.0,21.518306255340576
srtf,8,10000008,201,3684,-164.98642999999998,82082.80099502488,39963.0,289481.0,82082.80099502487,6206661.0,3.7052834033966064
learn,8,10000008,201,5351,-94.33625000000004,46933.45771144279,36996.0,120783.0,46933.4577114428,5952054.0,17.790708780288696
srtf,9,10000009,201,3735,-691.6279600000006,344093.51243781095,43580.0,2121489.0,344093.51243781124,6135072.0,7.03748083114624
learn,9,10000009,201,5962,-183.84449000000058,91464.92039800996,44963.0,316590.0,91464.92039801023,5016442.0,21.260860443115234
srtf,10,10000010,201,3633,-708.7287399999985,352601.3631840796,43694.0,2891025.0,352601.3631840789,6226927.0,7.575209617614746
learn,10,10000010,201,5929,-156.11107,77667.19900497512,54829.0,260833.0,77667.19900497513,4573871.0,20.97697138786316
srtf,11,10000011,201,3620,-307.27078000000023,152871.03482587065,43183.0,572410.0,152871.03482587077,5585120.0,4.571509122848511
learn,11,10000011,201,5423,-112.05523000000002,55748.87064676617,40179.0,146918.0,55748.870646766176,5403749.0,17.973543643951416
srtf,12,10000012,201,3661,-394.59912000000065,196317.97014925373,41182.0,1031606.0,196317.97014925408,5744620.0,4.800131559371948
learn,12,10000012,201,5572,-118.84380000000003,59126.26865671642,40444.0,161708.0,59126.268656716435,5128420.0,18.89579176902771
srtf,13,10000013,201,3750,-569.8689600000001,283516.89552238805,39301.0,2151161.0,283516.8955223881,5941810.0,6.340065002441406
learn,13,10000013,201,5807,-132.59927000000008,65969.78606965175,44147.0,166923.0,65969.78606965177,4907022.0,20.28109097480774
srtf,14,10000014,201,3692,-224.97693,111928.82089552238,37589.0,396659.0,111928.82089552238,5271343.0,4.07353663444519
learn,14,10000014,201,5509,-106.42234000000019,52946.437810945274,31427.0,141180.0,52946.43781094537,5221637.0,18.209038019180298
srtf,15,10000015,201,3739,-331.9653700000007,165156.90049751243,43656.0,903288.0,165156.90049751278,6015686.0,5.059492826461792
learn,15,10000015,201,5989,-141.51406000000023,70405.00497512438,45967.0,200753.0,70405.0049751245,5093528.0,21.076539754867554
srtf,16,10000016,201,3718,-243.52330000000043,121155.87064676617,37934.0,479075.0,121155.87064676639,5372837.0,4.5785956382751465
