cell,label,delta,exp,learn_mean_jct,seed,srtf_mean_jct
clean,Clean,160185.71641791044,0,74291.5223880597,10000000,234477.23880597015
clean,Clean,46433.9552238806,1,51946.17412935323,10000001,98380.12935323383
clean,Clean,219656.00497512438,2,78103.68656716419,10000002,297759.6915422886
clean,Clean,24697.716417910444,3,44685.885572139305,10000003,69383.60199004975
clean,Clean,119805.9303482587,4,48545.567164179105,10000004,168351.4975124378
clean,Clean,269676.62686567166,5,80935.82089552238,10000005,350612.447761194
clean,Clean,122037.44278606966,6,53729.149253731346,10000006,175766.592039801
clean,Clean,181518.61194029852,7,63818.72139303482,10000007,245337.33333333334
clean,Clean,35149.34328358209,8,46933.45771144279,10000008,82082.80099502488
clean,Clean,252628.592039801,9,91464.92039800996,10000009,344093.51243781095
clean,Clean,274934.1641791045,10,77667.19900497512,10000010,352601.3631840796
clean,Clean,97122.16417910448,11,55748.87064676617,10000011,152871.03482587065
clean,Clean,137191.7014925373,12,59126.26865671642,10000012,196317.97014925373
clean,Clean,217547.1094527363,13,65969.78606965175,10000013,283516.89552238805
clean,Clean,58982.38308457711,14,52946.437810945274,10000014,111928.82089552238
clean,Clean,94751.89552238805,15,70405.00497512438,10000015,165156.90049751243
clean,Clean,72945.48258706467,16,48210.388059701494,10000016,121155.87064676617
clean,Clean,97475.21393034825,17,57046.517412935325,10000017,154521.73134328358
clean,Clean,213348.9502487562,18,68529.0895522388,10000018,281878.03980099503
clean,Clean,234993.0845771144,19,62726.69154228856,10000019,297719.77611940296
clean,Clean,88864.02487562188,20,53015.36815920398,10000020,141879.39303482586
clean,Clean,93791.2039800995,21,68831.73134328358,10000021,162622.93532338308
clean,Clean,236406.1393034826,22,78157.46268656716,10000022,314563.60199004976
clean,Clean,73516.43781094528,23,49536.35323383084,10000023,123052.79104477612
clean,Clean,247775.03980099503,24,76828.09950248756,10000024,324603.1393034826
clean,Clean,59523.716417910444,25,43886.22388059701,10000025,103409.94029850746
clean,Clean,188628.736318408,26,75637.39800995025,10000026,264266.1343283582
clean,Clean,113407.22388059701,27,48935.22388059701,10000027,162342.44776119402
clean,Clean,236251.64676616914,28,77522.69651741293,10000028,313774.3432835821
clean,Clean,79632.00497512436,29,62339.87064676617,10000029,141971.87562189053
p1_lag_lambda_1_0,P1 lag lambda=1.0,1659378.7471358695,0,1468512.5866495993,10000000,3127891.3337854687
p1_lag_lambda_1_0,P1 lag lambda=1.0,1873807.778014189,1,1226619.858328308,10000001,3100427.636342497
p1_lag_lambda_1_0,P1 lag lambda=1.0,1661936.3540118085,2,1548142.410689441,10000002,3210078.7647012495
p1_lag_lambda_1_0,P1 lag lambda=1.0,1788019.5994916603,3,1221882.0914242475,10000003,3009901.6909159077
p1_lag_lambda_1_0,P1 lag lambda=1.0,1838612.907862418,4,1387458.6940557093,10000004,3226071.6019181274
p1_lag_lambda_1_0,P1 lag lambda=1.0,1904948.1525843798,5,1635838.6768557334,10000005,3540786.829440113
p1_lag_lambda_1_0,P1 lag lambda=1.0,1600673.6097133378,6,1179187.35943894,10000006,2779860.969152278
p1_lag_lambda_1_0,P1 lag lambda=1.0,1877510.501696258,7,1452457.3909844605,10000007,3329967.8926807186
p1_lag_lambda_1_0,P1 lag lambda=1.0,1493920.3033825543,8,1067526.3802700897,10000008,2561446.683652644
p1_lag_lambda_1_0,P1 lag lambda=1.0,1654223.9067235794,9,1628764.209572046,10000009,3282988.1162956255
p1_lag_lambda_1_0,P1 lag lambda=1.0,1741306.24924653,10,1657147.108224576,10000010,3398453.357471106
