scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
srtf,0,10000000,201,3711,-6287.061580908789,3127891.3337854687,1755839.3708642172,10503759.059491256,3127891.3337854673,14301072.347108508,21.099883794784546
learn,0,10000000,201,7001,-2951.7102991656925,1468512.5866495993,690592.0420998326,5911700.112152536,1468512.586649598,9247388.428648302,48.8358211517334
srtf,1,10000001,201,3870,-6231.859549048408,3100427.636342497,1377436.5494496825,9308392.018365586,3100427.636342491,13873766.027936984,21.230597972869873
learn,1,10000001,201,6607,-2465.5059152398985,1226619.858328308,709674.7196178611,4848636.606034805,1226619.8583283077,8594938.627111701,43.50979709625244
srtf,2,10000002,201,3565,-6452.2583170495245,3210078.7647012495,1537025.3473122297,9927706.414926086,3210078.764701256,14088702.5959428,18.279805660247803
learn,2,10000002,201,6931,-3111.7662454857764,1548142.410689441,627842.4262889572,5823327.7325994475,1548142.410689441,9261081.668310093,47.38170766830444
srtf,3,10000003,201,3815,-6049.902398740979,3009901.6909159077,1757709.4505914398,8668110.702510338,3009901.69091591,13444716.595146084,20.505990982055664
learn,3,10000003,201,6190,-2455.98300376273,1221882.0914242475,785067.6314314078,4031664.730776198,1221882.0914242438,8373568.613534925,41.181819438934326
srtf,4,10000004,201,3807,-6484.403919855431,3226071.6019181274,1237490.2764347312,10006127.414269192,3226071.601918125,13274853.834001653,20.745344638824463
learn,4,10000004,201,6653,-2788.7919750519754,1387458.6940557093,651094.4729649369,5381159.936079156,1387458.694055709,8249261.303591349,46.18673062324524
srtf,5,10000005,201,3696,-7116.981527174634,3540786.829440113,1679634.3285704106,10754313.246984668,3540786.8294401164,15062857.937107852,21.201970100402832
learn,5,10000005,201,7507,-3288.035740480021,1635838.6768557334,574318.9005363374,6425476.602713962,1635838.676855732,9704014.724092804,54.76889896392822
srtf,6,10000006,201,3742,-5587.520547996079,2779860.969152278,1338634.553327002,9088020.153513188,2779860.969152278,12943434.666524865,17.751161336898804
learn,6,10000006,201,6832,-2370.16659247227,1179187.35943894,574459.0065725883,4616275.950386235,1179187.3594389404,8201274.204110784,44.3290331363678
srtf,7,10000007,201,3858,-6693.235464288232,3329967.8926807186,2009404.4244618593,10387677.397425817,3329967.8926807125,14106830.468848567,23.376413106918335
learn,7,10000007,201,6959,-2919.4393558787624,1452457.3909844605,659274.7016115151,5623422.487866435,1452457.390984459,8910287.965126403,51.83840799331665
srtf,8,10000008,201,3659,-5148.507834141825,2561446.683652644,472486.4972457434,8832158.161372367,2561446.683652649,13693845.631311098,16.524705171585083
learn,8,10000008,201,7280,-2145.728024342883,1067526.3802700897,523742.53209738154,4549286.447758064,1067526.3802700911,8814752.447758064,44.469204902648926
srtf,9,10000009,201,3716,-6598.806113754209,3282988.1162956255,1468702.3927044566,10581703.384502335,3282988.1162956264,14610321.725807255,22.067253351211548
learn,9,10000009,201,6831,-3273.8160612398106,1628764.209572046,742760.4473828208,6379635.251268223,1628764.2095720451,9367936.043805836,50.34800124168396
srtf,10,10000010,201,3626,-6830.891248516927,3398453.357471106,1804907.4100781763,10951838.95354684,3398453.357471108,14756975.95354684,21.85504937171936
learn,10,10000010,201,6721,-3330.8656875314,1657147.108224576,813108.9870880675,6325124.21516756,1657147.108224577,9557008.315000882,51.147080421447754
srtf,11,10000011,201,3640,-6015.068343643623,2992571.3152455892,978569.9686576342,9680045.0243139,2992571.315245583,13447915.753032872,17.778311729431152
learn,11,10000011,201,6855,-2499.121851517655,1243344.204735152,542385.8864503391,5767344.977901809,1243344.204735152,8593619.846002193,45.22771120071411
srtf,12,10000012,201,3657,-6533.6869243419,3250590.5096228383,1222897.6435749908,10158517.60109796,3250590.5096228356,14073908.800951885,19.324666261672974
learn,12,10000012,201,7113,-2891.648580132154,1438631.134394106,638750.8277897751,5703322.388089444,1438631.1343941067,9048535.181357408,48.41596221923828
srtf,13,10000013,201,3708,-6165.664692036894,3067494.871660153,1172283.702949551,9582321.998214439,3067494.871660146,14004711.003300223,21.36275815963745
learn,13,10000013,201,7163,-2806.8289078041207,1396432.292439857,526693.3478331077,5511733.601570941,1396432.292439861,9017316.229014542,50.12196373939514
srtf,14,10000014,201,3713,-6056.300353414087,3013084.7529423307,1501666.9488979736,8660504.01702468,3013084.752942332,12962947.773076985,19.368741273880005
learn,14,10000014,201,6446,-2417.782322979528,1202876.7776017534,655542.2018894462,4812088.398994245,1202876.7776017552,8049804.3457721025,43.47242760658264
srtf,15,10000015,201,3794,-6014.200248997557,2992139.4273619675,1600475.9900566381,8677942.849063048,2992139.427361969,14202374.687735293,19.31199288368225
learn,15,10000015,201,6953,-2599.3232396301105,1293195.6416070175,593760.2267878954,4824028.131233749,1293195.6416070203,9238085.192819027,46.68479800224304
srtf,16,10000016,201,3693,-6069.742485300645,3019772.3807465727,1115349.8531144336,8875924.052400097,3019772.3807465895,13500689.344929809,20.788670539855957
learn,16,10000016,201,6537,-2602.2042102195214,1294628.9603082212,704200.4691360537,4676174.033295455,1294628.9603082198,8436683.573848493,44.58152675628662
srtf,17,10000017,201,3632,-5895.276532650058,2932973.3993283776,1036927.2936118087,9681024.215191256,2932973.3993283864,13998549.47038458,18.651063203811646
learn,17,10000017,201,7011,-2721.442607705609,1353951.5461221912,613151.839309907,5130227.160977864,1353951.5461221936,9127120.80211785,46.688467502593994
srtf,18,10000018,201,3642,-6381.366288957719,3174809.0989839337,1369071.7444927318,10892454.432675667,3174809.0989839397,14423477.228186587,20.5726957321167
learn,18,10000018,201,7536,-3004.8540693571845,1494952.2733120325,589179.8910803851,6466808.313768197,1494952.2733120322,9412973.531883467,53.003105878829956
srtf,19,10000019,201,3819,-6785.648555028893,3375944.554740743,2025145.081526034,10214515.518187307,3375944.554740743,13835466.333913704,22.558150053024292
learn,19,10000019,201,6431,-3237.6716794760246,1610781.9300875715,823862.7288383031,6078326.646866359,1610781.9300875743,8818013.733224427,49.146241903305054
srtf,20,10000020,201,3670,-6001.004300539371,2985574.2788753104,1720279.7074578563,8922296.752295876,2985574.278875309,13144086.423979748,20.139221906661987
learn,20,10000020,201,6532,-2580.787048569527,1283973.6560047385,641904.4866489274,5109218.880178159,1283973.6560047397,8269478.650317181,45.170979499816895
srtf,21,10000021,201,3537,-6067.538514511589,3018675.8778664684,1924603.412200179,9240648.994468557,3018675.877866462,13915605.332362354,18.417115926742554
learn,21,10000021,201,7208,-2611.4016497378852,1299204.8008646194,505010.0133129875,5074907.79435331,1299204.8008646194,9108217.663308138,47.551719427108765
srtf,22,10000022,201,3759,-7389.180014687579,3676208.9625311373,2618528.38420929,10182446.67042128,3676208.9625311345,14847558.02591993,21.498036861419678
learn,22,10000022,201,7064,-3391.8071749402766,1687466.256189193,776891.2617533803,5762033.338869188,1687466.2561891924,9606686.734790757,53.12722206115723
srtf,23,10000023,201,3775,-6456.229710859072,3212054.582516947,1670196.1550959353,9648231.348792108,3212054.5825169515,13447986.930659771,22.999464511871338
learn,23,10000023,201,6484,-2679.129397755169,1332900.197888142,667246.5001710816,5049168.404731565,1332900.1978881438,8405626.68506804,45.53594779968262
srtf,24,10000024,201,3885,-7533.168582571365,3747845.0659559094,2749238.283792995,10465750.966327423,3747845.065955903,15017194.991584538,25.653581857681274
