scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
srtf,0,10000000,201,3521,-884.8085200000003,440203.24378109456,51416.0,3091200.0,440203.2437810947,6861598.0,7.232490062713623
learn,0,10000000,201,5935,-199.07668000000018,99043.12437810945,68768.0,299857.0,99043.12437810954,5321224.0,21.03109073638916
srtf,1,10000001,201,3795,-1124.323489999997,559364.9203980099,63834.0,3552201.0,559364.9203980084,7715991.0,9.503306865692139
learn,1,10000001,201,6594,-250.9571799999994,124854.31840796019,95108.0,274049.0,124854.3184079599,5607783.0,24.37637734413147
srtf,2,10000002,201,3673,-536.7933800000001,267061.3830845771,52518.0,1705509.0,267061.38308457716,6807817.0,5.941779613494873
learn,2,10000002,201,6033,-168.57586999999987,83868.59203980099,62504.0,204181.0,83868.59203980092,5574059.0,21.340805053710938
srtf,3,10000003,201,3871,-936.53826,465939.4328358209,60976.0,3380032.0,465939.4328358209,7474138.0,8.919361591339111
learn,3,10000003,201,6477,-195.2704300000002,97149.46766169154,77621.0,233445.0,97149.46766169164,5440308.0,23.422057628631592
srtf,4,10000004,201,3705,-1193.5756100000026,593818.711442786,64753.0,3907782.0,593818.7114427873,7304519.0,10.286458015441895
learn,4,10000004,201,6261,-283.7388099999996,141163.58706467663,84569.0,458421.0,141163.58706467642,5187760.0,23.76204800605774
srtf,5,10000005,201,3744,-607.4779199999986,302227.82089552237,53944.0,1798825.0,302227.82089552167,6895557.0,5.94992995262146
learn,5,10000005,201,6110,-169.44269999999983,84299.85074626865,61540.0,214454.0,84299.85074626857,5491287.0,21.48718547821045
srtf,6,10000006,201,3552,-705.5324299999993,351011.1592039801,50073.0,2026347.0,351011.1592039797,6357755.0,6.181816339492798
learn,6,10000006,201,5608,-180.58228000000034,89841.93034825871,56104.0,250139.0,89841.93034825887,5174345.0,19.856494426727295
srtf,7,10000007,201,3608,-1457.544620000004,725146.5771144278,63352.0,4866843.0,725146.5771144298,7466481.0,10.034971714019775
learn,7,10000007,201,6292,-433.6572099999996,215749.85572139305,116973.0,715782.0,215749.85572139284,5145063.0,25.68924331665039
srtf,8,10000008,201,3606,-637.1560000000004,316993.03482587065,61637.0,1888525.0,316993.0348258708,7039693.0,6.160204887390137
learn,8,10000008,201,5983,-194.15140000000028,96592.73631840796,72539.0,256965.0,96592.7363184081,5876081.0,20.72470474243164
srtf,9,10000009,201,3571,-765.2291100000014,380711.0,57090.0,2931757.0,380711.00000000064,6701480.0,7.124986886978149
learn,9,10000009,201,5918,-195.02873,97029.21890547263,70037.0,250810.0,97029.21890547263,5163366.0,20.76852297782898
srtf,10,10000010,201,3624,-1323.5751400000017,658495.0945273632,53441.0,4289100.0,658495.0945273641,7273648.0,10.355492353439331
learn,10,10000010,201,6361,-374.81872000000004,186476.9751243781,95991.0,506669.0,186476.97512437814,4655457.0,26.142670154571533
srtf,11,10000011,201,3406,-969.0203799999989,482099.6915422886,52091.0,2786351.0,482099.69154228806,6990969.0,7.611235857009888
learn,11,10000011,201,5960,-243.48339000000027,121136.01492537314,84073.0,361366.0,121136.01492537327,5085242.0,21.71762704849243
srtf,12,10000012,201,3594,-1797.27517,894166.7512437811,75732.0,4372843.0,894166.7512437811,8005208.0,11.017968893051147
learn,12,10000012,201,6296,-541.6325500000006,269468.9303482587,141118.0,777031.0,269468.930348259,5425783.0,27.083235025405884
srtf,13,10000013,201,3617,-1410.4320500000026,701707.4875621891,66301.0,4324334.0,701707.4875621904,7499750.0,10.141716957092285
learn,13,10000013,201,6431,-345.70498999999955,171992.53233830846,98703.0,535289.0,171992.53233830823,4888010.0,25.09195065498352
srtf,14,10000014,201,3586,-1118.5564200000001,556495.7313432836,57547.0,3307792.0,556495.7313432837,6625097.0,9.481907606124878
learn,14,10000014,201,6177,-274.80462000000074,136718.71641791044,80217.0,397705.0,136718.71641791082,4867997.0,23.332818746566772
srtf,15,10000015,201,3512,-889.6458600000012,442609.8805970149,59819.0,2959493.0,442609.8805970155,7188978.0,7.304440259933472
learn,15,10000015,201,5983,-287.27527000000015,142923.01990049751,96473.0,434698.0,142923.01990049757,5249159.0,22.72503113746643
srtf,16,10000016,201,3441,-1050.0154900000007,522395.7661691542,59837.0,3512674.0,522395.7661691546,7123721.0,7.559710502624512
learn,16,10000016,201,5834,-220.05683000000022,109481.00995024876,80222.0,253088.0,109481.00995024887,5179514.0,21.203858852386475
srtf,17,10000017,201,3595,-1380.2626000000032,686697.8109452736,68726.0,4065701.0,686697.8109452752,7735166.0,9.386779308319092
learn,17,10000017,201,6297,-338.23289000000057,168275.0696517413,100710.0,510673.0,168275.0696517416,5409089.0,24.08241295814514
srtf,18,10000018,201,3786,-984.7808200000001,489940.7064676617,54156.0,3255986.0,489940.7064676617,6855429.0,8.344626426696777
learn,18,10000018,201,6422,-198.5624700000002,98787.29850746269,68990.0,263412.0,98787.29850746278,5065282.0,23.099634408950806
srtf,19,10000019,201,3830,-1324.7793200000067,659094.1890547264,56677.0,4532707.0,659094.1890547296,7661540.0,10.816510438919067
learn,19,10000019,201,6776,-227.1498499999999,113009.87562189055,80472.0,274022.0,113009.87562189049,5606072.0,24.03809094429016
srtf,20,10000020,201,3388,-1095.5863200000001,545067.8208955224,68709.0,3284837.0,545067.8208955225,6939915.0,8.283857345581055
learn,20,10000020,201,6089,-229.31438000000043,114086.75621890547,80385.0,282692.0,114086.75621890568,5113259.0,22.010818004608154
srtf,21,10000021,201,3436,-1027.1715300000003,511030.6119402985,61938.0,3446874.0,511030.61194029864,7094996.0,7.333918571472168
learn,21,10000021,201,6060,-203.74232999999998,101364.34328358209,78426.0,251409.0,101364.34328358207,5311750.0,22.101429224014282
srtf,22,10000022,201,3663,-1314.937810000002,654197.9154228856,72291.0,4087182.0,654197.9154228865,7651827.0,10.286568403244019
learn,22,10000022,201,6492,-295.2587299999999,146894.89054726367,97122.0,432252.0,146894.89054726364,5192602.0,24.957993745803833
srtf,23,10000023,201,3670,-972.6630200000003,483911.9502487562,60488.0,2854264.0,483911.9502487564,7566761.0,6.9209370613098145
learn,23,10000023,201,6235,-226.8629099999999,112867.11940298507,85470.0,312986.0,112867.11940298503,5723719.0,22.480966567993164
srtf,24,10000024,201,3691,-1372.0555399999996,682614.6965174129,61914.0,4170587.0,682614.6965174128,7778569.0,9.995815992355347
learn,24,10000024,201,6540,-398.70172000000036,198359.06467661692,95961.0,691808.0,198359.0646766171,5327956.0,26.563352346420288
srtf,25,10000025,201,3626,-763.1032700000003,379653.36815920396,53818.0,2477199.0,379653.36815920414,6969618.0,7.17112398147583
learn,25,10000025,201,6077,-227.70797999999965,113287.55223880598,73124.0,298696.0,113287.5522388058,5430681.0,21.94753074645996
