scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
srtf,0,10000000,201,3714,-456.6795500000006,227203.75621890547,39549.0,1649655.0,227203.75621890576,5920052.0,6.043994903564453
learn,0,10000000,201,5941,-149.26482000000075,74261.10447761194,43778.0,225698.0,74261.10447761232,5371013.0,80.39737939834595
srtf,1,10000001,201,3883,-203.18017000000006,101084.6616915423,37343.0,315936.0,101084.66169154232,5480767.0,4.3672168254852295
learn,1,10000001,201,5735,-105.12811,52302.54228855721,34059.0,161774.0,52302.54228855721,4949678.0,70.36052107810974
srtf,2,10000002,201,3592,-602.8054799999996,299903.22388059704,45045.0,2089369.0,299903.2238805968,6119274.0,5.6883628368377686
learn,2,10000002,201,5829,-159.69040000000035,79447.96019900497,53567.0,227596.0,79447.96019900515,4957020.0,75.20496273040771
srtf,3,10000003,201,3853,-139.12212999999986,69214.99004975124,36765.0,249516.0,69214.99004975117,5708615.0,3.7637546062469482
learn,3,10000003,201,5650,-90.97169000000021,45259.54726368159,32977.0,123864.0,45259.54726368169,5517428.0,66.94467258453369
srtf,4,10000004,201,3788,-322.02446,160211.17412935322,35163.0,1002274.0,160211.17412935322,5196339.0,4.41812539100647
learn,4,10000004,201,5547,-96.74676999999984,48132.72139303482,37594.0,130413.0,48132.72139303474,5107479.0,67.46265149116516
srtf,5,10000005,201,3669,-737.7611499999995,367045.34825870645,45806.0,2320651.0,367045.34825870616,6309591.0,7.3862340450286865
learn,5,10000005,201,6080,-159.59504000000013,79400.51741293533,49511.0,212854.0,79400.51741293538,4919678.0,77.64849710464478
srtf,6,10000006,201,3744,-359.01033999999925,178612.10945273633,41443.0,1108498.0,178612.10945273595,5476163.0,5.025867462158203
learn,6,10000006,201,5500,-103.55816000000013,51521.47263681592,34523.0,134515.0,51521.47263681598,5098497.0,67.26660871505737
srtf,7,10000007,201,3800,-493.3261899999997,245435.91542288556,37879.0,1543149.0,245435.91542288542,5687913.0,6.656783819198608
learn,7,10000007,201,6006,-127.01981999999985,63193.94029850746,41251.0,208716.0,63193.94029850739,5021639.0,75.78603863716125
srtf,8,10000008,201,3707,-167.35342000000028,83260.40796019901,39416.0,273059.0,83260.40796019914,6217325.0,3.736001968383789
learn,8,10000008,201,5391,-95.0111899999999,47269.248756218905,38050.0,116818.0,47269.24875621886,5948459.0,64.88902997970581
