scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3636,-156.0149000000004,77619.35323383084,51690.0,204785.0,77619.35323383105,5324877.0,9.075655221939087
learn,0,10000000,201,5677,-147.0182799999996,73143.42288557214,42904.0,244275.0,73143.42288557194,5318142.0,26.08746862411499
dynamic_partition,1,10000001,201,3783,-109.35673999999992,54406.338308457714,36969.0,154471.0,54406.33830845767,4953610.0,7.14572811126709
learn,1,10000001,201,5572,-107.03992999999993,53253.69651741294,33780.0,158168.0,53253.6965174129,4938535.0,21.211787223815918
dynamic_partition,2,10000002,201,3499,-157.63927999999973,78427.50248756219,58005.0,218489.0,78427.50248756204,4967420.0,7.733632564544678
learn,2,10000002,201,5778,-157.4688600000002,78342.71641791044,51911.0,235599.0,78342.71641791055,4957127.0,24.091716527938843
dynamic_partition,3,10000003,201,3769,-91.29424000000002,45420.019900497515,34434.0,115209.0,45420.01990049752,5527488.0,8.315502643585205
learn,3,10000003,201,5708,-89.52696000000016,44540.77611940299,32889.0,120182.0,44540.77611940307,5515341.0,23.301438093185425
dynamic_partition,4,10000004,201,3738,-95.4782000000003,47501.592039801,36423.0,120727.0,47501.592039801144,5110971.0,7.5195159912109375
learn,4,10000004,201,5624,-96.8316299999998,48174.94029850746,39725.0,123910.0,48174.94029850737,5100538.0,22.16070246696472
dynamic_partition,5,10000005,201,3564,-155.8209300000004,77522.85074626865,57695.0,215716.0,77522.85074626886,4915150.0,7.91560435295105
learn,5,10000005,201,6158,-158.93495999999993,79072.11940298507,51921.0,240759.0,79072.11940298503,4906459.0,25.50558853149414
dynamic_partition,6,10000006,201,3673,-107.73597999999997,53599.99004975124,37606.0,144881.0,53599.99004975123,5098059.0,8.674181461334229
learn,6,10000006,201,5648,-105.85970999999991,52666.522388059704,34919.0,137449.0,52666.52238805965,5101431.0,23.15539836883545
dynamic_partition,7,10000007,201,3762,-127.33248000000015,63349.49253731343,45550.0,188672.0,63349.492537313505,5020401.0,7.554684400558472
learn,7,10000007,201,6023,-124.56869000000026,61974.47263681592,41625.0,204711.0,61974.47263681605,5021133.0,27.202486753463745
dynamic_partition,8,10000008,201,3645,-98.77804999999965,49143.30845771144,40007.0,130165.0,49143.30845771127,5962852.0,6.906732559204102
learn,8,10000008,201,5288,-93.66497000000017,46599.48756218905,37125.0,122671.0,46599.48756218914,5949221.0,19.824331521987915
dynamic_partition,9,10000009,201,3579,-201.21013000000008,100104.54228855722,51325.0,372740.0,100104.54228855725,5031593.0,8.487465381622314
learn,9,10000009,201,5982,-180.03010000000057,89567.21393034825,44806.0,295264.0,89567.21393034853,5017063.0,23.73418641090393
dynamic_partition,10,10000010,201,3512,-170.18601000000024,84669.65671641791,65257.0,225088.0,84669.65671641802,4570413.0,7.728199005126953
learn,10,10000010,201,5872,-155.48225,77354.35323383084,56154.0,235688.0,77354.35323383084,4571150.0,25.631541967391968
dynamic_partition,11,10000011,201,3548,-113.00393000000008,56220.86069651741,41146.0,143462.0,56220.86069651745,5410061.0,7.132456541061401
learn,11,10000011,201,5429,-113.65004999999994,56542.31343283582,39059.0,143715.0,56542.31343283579,5408095.0,22.41274619102478
dynamic_partition,12,10000012,201,3592,-121.51117999999998,60453.32338308458,42007.0,163451.0,60453.32338308457,5128178.0,7.167676687240601
learn,12,10000012,201,5544,-120.28182999999989,59841.706467661694,40276.0,160139.0,59841.706467661636,5128624.0,21.963755130767822
dynamic_partition,13,10000013,201,3600,-140.64584000000016,69973.05472636817,51273.0,189209.0,69973.05472636824,4912139.0,7.153957366943359
learn,13,10000013,201,5900,-137.25839000000005,68287.75621890547,44940.0,171934.0,68287.7562189055,4910092.0,25.463387727737427
dynamic_partition,14,10000014,201,3674,-112.1257,55783.930348258706,34621.0,158094.0,55783.930348258706,5235381.0,6.875819683074951
learn,14,10000014,201,5440,-106.33325000000004,52902.114427860695,32885.0,137403.0,52902.11442786072,5221468.0,21.137750387191772
dynamic_partition,15,10000015,201,3661,-149.95813999999987,74606.03980099503,55260.0,200687.0,74606.03980099496,5086144.0,7.396907806396484
learn,15,10000015,201,5957,-142.3759700000001,70833.815920398,43870.0,222497.0,70833.81592039806,5091574.0,25.651172876358032
dynamic_partition,16,10000016,201,3673,-101.77156000000014,50632.616915422885,39619.0,125337.0,50632.61691542295,5010140.0,6.926266670227051
learn,16,10000016,201,5705,-98.25736000000008,48884.25870646766,36508.0,136227.0,48884.2587064677,5006316.0,22.93626642227173
dynamic_partition,17,10000017,201,3600,-120.98749999999986,60192.78606965174,45844.0,153923.0,60192.786069651665,5222008.0,7.664939880371094
learn,17,10000017,201,5561,-113.98192000000006,56707.42288557214,42924.0,143196.0,56707.42288557217,5220364.0,23.07611894607544
dynamic_partition,18,10000018,201,3565,-135.84647999999987,67585.31343283581,50273.0,169373.0,67585.31343283576,5094464.0,8.062254905700684
learn,18,10000018,201,5965,-138.9572200000004,69132.94527363183,47754.0,191267.0,69132.94527363204,5097410.0,23.51757550239563
dynamic_partition,19,10000019,201,3668,-134.93669000000043,67132.68159203981,50130.0,178208.0,67132.68159204001,4612760.0,8.221530199050903
learn,19,10000019,201,5806,-123.7647700000001,61574.51243781095,41986.0,175004.0,61574.51243781099,4605766.0,24.551471710205078
