scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3588,-96.06747000000013,47794.76119402985,35441.0,130867.0,47794.76119402992,5323024.0,4.482311725616455
learn,0,10000000,201,5341,-89.07256000000012,44314.706467661694,32738.0,119439.0,44314.70646766176,5318517.0,16.087565422058105
dynamic_partition,1,10000001,201,3777,-121.43822000000014,60417.02487562189,41932.0,171909.0,60417.024875621966,5441163.0,4.993805885314941
learn,1,10000001,201,5700,-114.48750000000005,56958.9552238806,39192.0,152005.0,56958.95522388063,5421440.0,17.37367272377014
dynamic_partition,2,10000002,201,3696,-102.28768999999986,50889.39800995025,34758.0,153939.0,50889.39800995017,5512281.0,4.533418893814087
learn,2,10000002,201,5434,-94.6089600000002,47069.13432835821,32997.0,130833.0,47069.134328358305,5514363.0,15.858572959899902
dynamic_partition,3,10000003,201,3836,-108.82166000000008,54140.12935323383,42900.0,126659.0,54140.12935323387,5374364.0,4.9281415939331055
learn,3,10000003,201,5757,-101.05670000000023,50276.96517412936,38756.0,123289.0,50276.96517412947,5356253.0,17.23362708091736
dynamic_partition,4,10000004,201,3675,-145.21760000000015,72247.56218905473,46852.0,249412.0,72247.5621890548,5115415.0,4.866559982299805
learn,4,10000004,201,5714,-144.87157000000005,72075.40796019901,40676.0,270118.0,72075.40796019904,5104263.0,17.048356771469116
dynamic_partition,5,10000005,201,3738,-99.45984000000009,49482.50746268657,39933.0,140503.0,49482.50746268661,5458874.0,4.589788436889648
learn,5,10000005,201,5665,-94.31223,46921.50746268657,36291.0,118953.0,46921.50746268657,5452164.0,15.877071142196655
dynamic_partition,6,10000006,201,3620,-88.9655700000002,44261.477611940296,33037.0,106212.0,44261.4776119404,5172588.0,4.267327785491943
learn,6,10000006,201,5440,-88.65894000000003,44108.92537313433,31312.0,130547.0,44108.92537313435,5168690.0,15.052924156188965
dynamic_partition,7,10000007,201,3614,-125.96110000000002,62667.21393034826,47926.0,152969.0,62667.21393034827,5104665.0,4.739047050476074
learn,7,10000007,201,5905,-126.97338000000012,63170.835820895525,44987.0,174250.0,63170.835820895576,5104589.0,17.216792583465576
dynamic_partition,8,10000008,201,3663,-97.25263000000011,48384.39303482587,38390.0,130672.0,48384.393034825924,5855017.0,4.509268522262573
learn,8,10000008,201,5537,-99.23815000000005,49372.21393034826,37265.0,130058.0,49372.21393034828,5848425.0,15.480996370315552
dynamic_partition,9,10000009,201,3653,-106.29960000000001,52885.37313432836,40823.0,148831.0,52885.373134328365,5162194.0,4.515183210372925
learn,9,10000009,201,5443,-103.40039,51442.980099502485,37380.0,151559.0,51442.980099502485,5157423.0,15.578415393829346
dynamic_partition,10,10000010,201,3576,-161.89074999999994,80542.6616915423,50977.0,209390.0,80542.66169154226,4394431.0,4.723964214324951
learn,10,10000010,201,5903,-154.9576099999997,77093.3383084577,41811.0,257526.0,77093.33830845756,4386884.0,17.81630825996399
dynamic_partition,11,10000011,201,3459,-117.12109999999987,58269.203980099504,41477.0,153880.0,58269.20398009944,4991406.0,4.4310078620910645
learn,11,10000011,201,5339,-110.15313000000008,54802.55223880597,35672.0,158831.0,54802.552238806005,4978964.0,15.50559377670288
dynamic_partition,12,10000012,201,3581,-200.6203600000001,99811.12437810945,76619.0,245489.0,99811.1243781095,4767070.0,5.032448053359985
learn,12,10000012,201,5899,-193.1450900000001,96092.08457711442,67777.0,269917.0,96092.08457711448,4765179.0,18.218759775161743
dynamic_partition,13,10000013,201,3576,-161.3736900000004,80285.41791044777,48917.0,296033.0,80285.41791044797,4877533.0,4.836894750595093
learn,13,10000013,201,5819,-147.21569000000014,73241.6368159204,41796.0,210034.0,73241.63681592046,4866850.0,17.299416542053223
dynamic_partition,14,10000014,201,3616,-98.2820600000002,48896.54726368159,38835.0,117088.0,48896.54726368169,4849256.0,4.547595262527466
learn,14,10000014,201,5552,-96.38515000000041,47952.81094527363,36220.0,113618.0,47952.810945273835,4848133.0,15.85176420211792
dynamic_partition,15,10000015,201,3540,-108.84026000000014,54149.383084577115,38175.0,141738.0,54149.38308457719,5244167.0,4.447986602783203
learn,15,10000015,201,5422,-113.84129999999993,56637.46268656717,36759.0,165355.0,56637.46268656713,5244123.0,15.770080804824829
dynamic_partition,16,10000016,201,3492,-106.5463999999999,53008.159203980096,40322.0,134917.0,53008.15920398005,5108250.0,4.484525918960571
learn,16,10000016,201,5496,-104.73500999999987,52106.97014925373,38943.0,130305.0,52106.97014925367,5096367.0,15.66746473312378
dynamic_partition,17,10000017,201,3613,-125.42896999999998,62402.47263681592,42322.0,167641.0,62402.47263681591,5386269.0,4.73251485824585
learn,17,10000017,201,5713,-122.35042999999996,60870.86069651741,41995.0,161421.0,60870.8606965174,5386435.0,16.63162660598755
dynamic_partition,18,10000018,201,3781,-92.81413000000008,46176.18407960199,37710.0,111611.0,46176.184079602026,5065283.0,4.708520174026489
learn,18,10000018,201,5721,-92.91650000000018,46227.114427860695,33492.0,104126.0,46227.11442786079,5059933.0,16.24761414527893
dynamic_partition,19,10000019,201,3806,-106.75871999999998,53113.79104477612,42972.0,132486.0,53113.79104477611,5596255.0,4.863300085067749
learn,19,10000019,201,5802,-101.66069000000006,50577.45771144279,37698.0,124722.0,50577.45771144281,5594478.0,16.79531455039978
dynamic_partition,20,10000020,201,3456,-125.99524999999994,62684.203980099504,49294.0,157310.0,62684.203980099475,5074227.0,4.6487135887146
learn,20,10000020,201,5425,-126.78823999999965,63078.7263681592,44861.0,177349.0,63078.72636815903,5083712.0,16.008647918701172
dynamic_partition,21,10000021,201,3465,-95.30115999999967,47413.51243781095,40010.0,108552.0,47413.51243781078,5235578.0,4.373203277587891
learn,21,10000021,201,5184,-91.82585,45684.50248756219,38107.0,105777.0,45684.50248756219,5231568.0,14.854960918426514
dynamic_partition,22,10000022,201,3653,-121.33548000000025,60365.91044776119,44182.0,154171.0,60365.910447761315,5143600.0,4.899733781814575
learn,22,10000022,201,5877,-121.81971000000003,60606.82089552239,43949.0,159982.0,60606.8208955224,5134649.0,17.29787588119507
dynamic_partition,23,10000023,201,3641,-116.13300000000007,57777.611940298506,43154.0,174426.0,57777.61194029854,5700010.0,4.7149598598480225
learn,23,10000023,201,5732,-123.56675000000017,61475.99502487562,42532.0,170747.0,61475.99502487571,5699360.0,16.591898918151855
dynamic_partition,24,10000024,201,3584,-169.46154000000047,84309.22388059701,56788.0,235433.0,84309.22388059726,4722814.0,4.9719860553741455
learn,24,10000024,201,5903,-165.71969,82447.60696517413,48660.0,285639.0,82447.60696517414,4723353.0,18.169748306274414
dynamic_partition,25,10000025,201,3685,-123.12706000000007,61257.24378109453,38563.0,193319.0,61257.24378109456,5385473.0,4.673199892044067
learn,25,10000025,201,5850,-124.76734000000019,62073.30348258706,36100.0,213208.0,62073.30348258716,5370943.0,17.08505344390869
dynamic_partition,26,10000026,201,3637,-94.24488999999991,46888.00497512438,32729.0,127875.0,46888.004975124335,5220280.0,4.5308568477630615
learn,26,10000026,201,5552,-94.91427000000023,47221.02985074627,32499.0,136729.0,47221.02985074638,5214992.0,15.727128982543945
dynamic_partition,27,10000027,201,3628,-100.98953999999999,50243.55223880597,38191.0,129063.0,50243.55223880597,4601043.0,4.540454626083374
learn,27,10000027,201,5521,-96.76573000000015,48142.154228855725,38094.0,122712.0,48142.1542288558,4601187.0,15.9661283493042
dynamic_partition,28,10000028,201,3700,-139.34339999999986,69325.07462686567,47426.0,200440.0,69325.07462686561,4869218.0,5.116748094558716
learn,28,10000028,201,6125,-136.9192099999997,68119.00995024876,46710.0,194545.0,68119.00995024861,4851691.0,18.30317711830139
dynamic_partition,29,10000029,201,3673,-102.09124000000001,50791.661691542286,37191.0,134607.0,50791.6616915423,4780057.0,4.670131206512451
learn,29,10000029,201,5677,-99.61304000000023,49558.7263681592,37504.0,123887.0,49558.72636815932,4776868.0,16.31143879890442
