scheme,exp,seed,num_jobs,decision_steps,total_reward,mean_jct,median_jct,p95_jct,reward_implied_mean_jct,makespan,elapsed_seconds
dynamic_partition,0,10000000,201,3638,-156.6059099999999,77913.3880597015,49957.0,205614.0,77913.38805970145,5325261.0,4.8555097579956055
learn,0,10000000,201,5930,-151.04487000000032,75146.70149253731,45320.0,253361.0,75146.70149253747,5320276.0,56.674010038375854
dynamic_partition,1,10000001,201,3785,-109.30408000000013,54380.13930348259,35982.0,155319.0,54380.139303482654,4952883.0,4.6672868728637695
learn,1,10000001,201,5664,-107.68784000000002,53576.03980099502,34869.0,149296.0,53576.03980099504,4938345.0,51.58171343803406
dynamic_partition,2,10000002,201,3479,-156.7903299999998,78005.13930348259,54673.0,219003.0,78005.1393034825,4966709.0,4.765609979629517
learn,2,10000002,201,5775,-156.06537000000034,77644.46268656716,51415.0,237666.0,77644.46268656733,4959790.0,54.73083424568176
dynamic_partition,3,10000003,201,3772,-91.76622999999992,45654.840796019904,34408.0,115244.0,45654.84079601986,5527310.0,4.665025234222412
learn,3,10000003,201,5653,-89.16975000000008,44363.05970149254,32650.0,113704.0,44363.05970149257,5519630.0,49.98008441925049
dynamic_partition,4,10000004,201,3739,-94.37628999999997,46953.37810945274,37019.0,117456.0,46953.378109452715,5110528.0,4.5724241733551025
learn,4,10000004,201,5499,-95.77341999999963,47648.467661691546,37844.0,126765.0,47648.46766169136,5100057.0,49.07583212852478
dynamic_partition,5,10000005,201,3568,-156.24541999999977,77734.03980099503,56056.0,212848.0,77734.03980099491,4914925.0,4.961686134338379
learn,5,10000005,201,6198,-159.7933499999997,79499.17910447762,53143.0,227476.0,79499.17910447746,4913917.0,58.699145793914795
dynamic_partition,6,10000006,201,3656,-107.39057000000024,53428.14427860697,37109.0,139858.0,53428.144278607084,5098302.0,4.477712869644165
learn,6,10000006,201,5619,-104.82662000000005,52152.54726368159,33074.0,155189.0,52152.54726368162,5095585.0,50.764957427978516
dynamic_partition,7,10000007,201,3753,-127.9742300000002,63668.77114427861,44657.0,180538.0,63668.77114427871,5020521.0,4.815728664398193
learn,7,10000007,201,6128,-128.75675000000018,64058.08457711443,39509.0,200252.0,64058.08457711452,5022596.0,56.893301248550415
dynamic_partition,8,10000008,201,3647,-97.9024600000001,48707.69154228856,39925.0,129868.0,48707.691542288616,5964141.0,4.5307838916778564
learn,8,10000008,201,5267,-95.46360999999986,47494.333333333336,38526.0,125172.0,47494.33333333327,5952920.0,46.21996760368347
dynamic_partition,9,10000009,201,3606,-200.53196000000017,99767.14427860697,50445.0,359272.0,99767.14427860705,5030313.0,4.916495323181152
learn,9,10000009,201,5914,-182.3591300000007,90725.93532338309,45820.0,285465.0,90725.93532338344,5013989.0,56.082685470581055
