lambda,exp,seed,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_partition_minus_decima
0.0,0,10000000,77619.35323383084,73143.42288557214,4475.930348258698
0.0,1,10000001,54406.338308457714,53253.69651741294,1152.641791044778
0.0,2,10000002,78427.50248756219,78342.71641791044,84.78606965174549
0.0,3,10000003,45420.019900497515,44540.77611940299,879.2437810945266
0.0,4,10000004,47501.592039801,48174.94029850746,-673.3482587064645
0.0,5,10000005,77522.85074626865,79072.11940298507,-1549.26865671642
0.0,6,10000006,53599.99004975124,52666.522388059704,933.4676616915385
0.0,7,10000007,63349.49253731343,61974.47263681592,1375.0199004975148
0.0,8,10000008,49143.30845771144,46599.48756218905,2543.820895522389
0.0,9,10000009,100104.54228855722,89567.21393034825,10537.328358208964
0.0,10,10000010,84669.65671641791,77354.35323383084,7315.303482587071
0.0,11,10000011,56220.86069651741,56542.31343283582,-321.45273631840973
0.0,12,10000012,60453.32338308458,59841.706467661694,611.6169154228846
0.0,13,10000013,69973.05472636817,68287.75621890547,1685.2985074626922
0.0,14,10000014,55783.930348258706,52902.114427860695,2881.8159203980103
0.0,15,10000015,74606.03980099503,70833.815920398,3772.2238805970264
0.0,16,10000016,50632.616915422885,48884.25870646766,1748.358208955222
0.0,17,10000017,60192.78606965174,56707.42288557214,3485.3631840796006
0.0,18,10000018,67585.31343283581,69132.94527363183,-1547.6318407960207
0.0,19,10000019,67132.68159203981,61574.51243781095,5558.169154228861
0.0,20,10000020,54581.85572139303,50994.35323383084,3587.5024875621893
0.0,21,10000021,65942.34328358209,67721.74129353234,-1779.3980099502514
0.0,22,10000022,79811.49751243781,76966.7512437811,2844.746268656716
0.0,23,10000023,49477.77611940299,49456.30845771144,21.4676616915458
0.0,24,10000024,81871.50248756219,77329.31840796019,4542.184079601997
0.0,25,10000025,45887.99004975124,44462.164179104475,1425.8258706467677
0.0,26,10000026,77985.95024875621,73997.05970149254,3988.890547263669
0.0,27,10000027,50104.114427860695,49989.65671641791,114.45771144278842
0.0,28,10000028,80854.10447761194,77291.02985074627,3563.074626865666
0.0,29,10000029,62864.567164179105,62676.46268656717,188.1044776119379
0.25,0,10000000,214290.50012854143,214575.0464628874,-284.54633434597054
0.25,1,10000001,125116.85717146078,130342.5809135265,-5225.723742065718
0.25,2,10000002,219400.3501870979,216695.66167774002,2704.6885093578894
0.25,3,10000003,88321.11160172195,105013.21155594126,-16692.099954219317
0.25,4,10000004,101670.12843532846,124395.6267393557,-22725.49830402725
0.25,5,10000005,298460.5173949945,288195.9396091528,10264.577785841713
0.25,6,10000006,140838.20390506915,146428.44787216414,-5590.2439670949825
0.25,7,10000007,172560.25978308197,213053.18159504925,-40492.92181196727
0.25,8,10000008,100360.81865209705,111387.82994943656,-11027.011297339515
0.25,9,10000009,318392.6447156526,295036.21317653434,23356.43153911829
0.25,10,10000010,329230.1373694972,302107.49401333067,27122.643356166547
0.25,11,10000011,119382.67519697477,141272.58010122168,-21889.904904246912
0.25,12,10000012,149765.2260466521,184628.39541820437,-34863.16937155227
0.25,13,10000013,209913.07389654175,239356.64381113686,-29443.569914595108
0.25,14,10000014,122700.46213853273,127099.61401351939,-4399.151874986652
0.25,15,10000015,181078.04162181137,174790.37571060687,6287.665911204502
0.25,16,10000016,118495.7511152865,133082.05369057044,-14586.302575283931
0.25,17,10000017,132758.50636146084,149924.31537665063,-17165.809015189792
0.25,18,10000018,178974.06484295265,213092.67242491734,-34118.607581964694
0.25,19,10000019,203900.79352601792,215093.72977161812,-11192.936245600198
0.25,20,10000020,109911.88511912903,133885.0265078381,-23973.141388709075
0.25,21,10000021,153053.85113123848,162655.94827863725,-9602.097147398774
0.25,22,10000022,227790.6061882173,270194.84813550796,-42404.24194729066
0.25,23,10000023,108530.64473972462,127334.70085122605,-18804.056111501428
0.25,24,10000024,289611.9737004406,262949.24308769754,26662.730612743064
0.25,25,10000025,99090.78032390606,118424.68752312669,-19333.90719922063
0.25,26,10000026,173772.32058370335,193174.85899084414,-19402.53840714079
0.25,27,10000027,114733.02103926681,151703.24835247314,-36970.22731320633
