method,curve,comparator,magnitude,status,deep_rm_mean_slowdown,comparator_mean_slowdown,delta_comparator_minus_deeprm,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,holm_less_curve,holm_greater_curve,reason
deeprm,p1_lag,Tetris*,0,complete,35.19243374958375,59.80496425518927,24.612530505605502,22.44572409847097,26.933083011224888,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,0,complete,35.19243374958375,40.53326714396715,5.340833394383394,3.3732453171828185,7.314378854409477,0.999970000299997,3.999960000399996e-05,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,1,complete,36.51630117382618,83.7913081918082,47.27500701798201,44.98028630404317,49.59792703338328,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,1,complete,36.51630117382618,67.43414443056943,30.917843256743254,28.891639721875347,32.84934743790931,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,2,complete,38.375626862026856,106.09496708846707,67.71934022644024,64.98180355838605,70.57425379557941,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,2,complete,38.375626862026856,92.33426347263845,53.9586366106116,51.8552000837357,56.15500428335554,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,5,complete,50.904171631146625,163.03639510489512,112.1322234737485,106.6895460535298,117.79658628364692,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,5,complete,50.904171631146625,170.02459336219337,119.12042173104673,115.0989412482656,123.50292957493895,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,10,complete,73.91461745754245,269.63041042013543,195.71579296259296,185.1053735556111,205.91743221903096,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,10,complete,73.91461745754245,306.79762463924965,232.88300718170714,226.4445610989011,239.25159296613103,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,20,complete,136.60855133755135,479.4739022699523,342.86535093240093,324.21173630015824,361.01205223616654,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,20,complete,136.60855133755135,577.9634325507826,441.3548812132312,425.7146660209235,456.45034566495997,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,Tetris*,50,complete,315.742067959818,1181.97293010878,866.2308621489623,827.0429222534411,904.2512571158009,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,50,complete,315.742067959818,1460.5788078699077,1144.83673991009,1105.1751486867993,1186.2188463875011,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p2_tail,Tetris*,2.5,complete,39.512900219611964,88.05834318962702,48.54544297001505,42.204476857699916,55.813285533929594,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,2.5,complete,39.512900219611964,58.06701319219417,18.55411297258221,13.692154688410852,23.756121677405037,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,Tetris*,2.0,complete,42.2409637270871,105.25210091721588,63.0111371901288,54.70985020362419,71.57871159403632,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
deeprm,p2_tail,SJF,2.0,complete,42.2409637270871,69.92695534706026,27.685991619973144,22.218097676232613,33.265146452173106,1.0,9.99990000099999e-06,1.0,5.999940000599994e-05,
