method,curve,comparator,magnitude,status,deep_rm_mean_slowdown,comparator_mean_slowdown,delta_comparator_minus_deeprm,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,holm_less_curve,holm_greater_curve,reason
deeprm,p1_lag,SourceTetris,0,complete,35.162784118659125,63.891736027861036,28.728951909201907,26.74153445561383,30.678245617368738,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,0,complete,35.162784118659125,40.53326714396715,5.370483025308025,3.6574954280441756,7.083780516844265,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,1,complete,36.463496017871016,64.52328961316461,28.05979359529359,25.923726693722948,30.21049210171773,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,1,complete,36.463496017871016,67.43414443056943,30.970648412698406,29.12458723956599,32.84788257631257,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,2,complete,38.441328796203805,68.47089962537463,30.029570829170826,27.994899889971137,32.070350046966915,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,2,complete,38.441328796203805,92.33426347263845,53.89293467643467,51.763858103909975,56.15405147442836,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,5,complete,50.50068803141303,94.20295448995448,43.70226645854145,41.16243643987956,46.41172392225828,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,5,complete,50.50068803141303,170.02459336219337,119.52390533078032,115.42127509171384,123.5750551825258,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,10,complete,76.9205918914419,166.65726744366748,89.73667555222555,82.18747719516594,96.883436892205,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,10,complete,76.9205918914419,306.79762463924965,229.87703274780773,223.06176973366917,236.2411951454795,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,20,complete,133.74606659729162,359.8839349400599,226.13786834276831,211.37565439338442,240.736164160631,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SJF,20,complete,133.74606659729162,577.9634325507826,444.2173659534909,428.35138011606455,460.44671349775217,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
deeprm,p1_lag,SourceTetris,50,complete,308.035882978133,952.1844757215007,644.1485927433677,611.7599933330558,679.0871283939672,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05,
