curve,magnitude,window_index,offset,rossi_total_cost,comparator_total_cost,delta_comparator_minus_rossi
p1_threshold,0,0,12003,218.3743,130.131,-88.2433
p1_threshold,0,1,28007,193.74349999999998,110.05199999999999,-83.69149999999999
p1_threshold,0,2,36009,201.1453,118.665,-82.48029999999999
p1_threshold,0,3,56014,199.1798,104.571,-94.6088
p1_threshold,0,4,60015,216.89069999999998,122.499,-94.39169999999999
p1_threshold,0,5,76019,207.0815,126.53099999999998,-80.55050000000003
p1_threshold,0,6,84021,229.52589999999998,140.32799999999997,-89.1979
p1_threshold,0,7,96024,222.5847,124.81199999999998,-97.77270000000001
p1_threshold,0,8,116029,200.50019999999998,122.83200000000001,-77.66819999999997
p1_threshold,0,9,120030,198.69279999999998,118.404,-80.28879999999998
p1_threshold,0,10,148037,208.0651,118.02599999999998,-90.03910000000002
p1_threshold,0,11,152038,206.97209999999998,125.28,-81.69209999999998
p1_threshold,0,12,180045,209.81920000000002,120.375,-89.44420000000002
p1_threshold,0,13,184046,223.47009999999997,126.27,-97.20009999999998
p1_threshold,0,14,192048,203.9013,128.718,-75.1833
p1_threshold,0,15,224056,214.37720000000002,124.56,-89.81720000000001
p1_threshold,0,16,240060,192.58999999999997,110.844,-81.74599999999998
p1_threshold,0,17,248062,182.12969999999999,109.73700000000001,-72.39269999999998
p1_threshold,0,18,256064,195.54919999999998,119.268,-76.28119999999998
p1_threshold,0,19,260065,204.02569999999997,102.771,-101.25469999999997
p1_threshold,0,20,276069,209.8825,118.15199999999999,-91.7305
p1_threshold,0,21,348087,169.67329999999998,98.48700000000001,-71.18629999999997
p1_threshold,0,22,380095,188.1717,104.92200000000001,-83.24969999999998
p1_threshold,0,23,392098,223.3544,119.988,-103.3664
p1_threshold,0,24,396099,235.05129999999997,128.745,-106.30629999999996
p1_threshold,0,25,432108,224.47140000000002,117.62099999999998,-106.85040000000004
p1_threshold,0,26,436109,197.60339999999997,124.65,-72.95339999999996
p1_threshold,0,27,456114,186.01019999999997,127.84499999999998,-58.165199999999984
p1_threshold,0,28,492123,193.3589,113.733,-79.6259
p1_threshold,0,29,512128,166.4776,89.658,-76.8196
p1_threshold,1,0,12003,139.04629999999997,132.534,-6.512299999999982
p1_threshold,1,1,28007,144.7745,109.64699999999999,-35.1275
p1_threshold,1,2,36009,139.9368,119.84400000000002,-20.092799999999983
p1_threshold,1,3,56014,131.4716,104.679,-26.792599999999993
p1_threshold,1,4,60015,144.6001,124.26299999999999,-20.337100000000007
p1_threshold,1,5,76019,126.16319999999999,129.03300000000002,2.8698000000000263
p1_threshold,1,6,84021,146.8469,146.232,-0.6149000000000058
p1_threshold,1,7,96024,145.6444,125.262,-20.38239999999999
p1_threshold,1,8,116029,131.5254,123.102,-8.423399999999987
p1_threshold,1,9,120030,138.2758,118.08000000000001,-20.19579999999999
p1_threshold,1,10,148037,129.7908,117.738,-12.05279999999999
p1_threshold,1,11,152038,139.92989999999998,126.027,-13.902899999999974
p1_threshold,1,12,180045,170.2896,121.13099999999999,-49.15860000000002
p1_threshold,1,13,184046,142.1101,129.38400000000001,-12.726099999999974
p1_threshold,1,14,192048,142.21269999999998,129.321,-12.891699999999986
p1_threshold,1,15,224056,154.0741,124.85699999999999,-29.217100000000002
p1_threshold,1,16,240060,130.46359999999999,112.54499999999999,-17.918599999999998
p1_threshold,1,17,248062,135.89480000000003,107.352,-28.542800000000028
p1_threshold,1,18,256064,133.1049,118.917,-14.187899999999985
p1_threshold,1,19,260065,138.569,102.99600000000001,-35.57299999999998
p1_threshold,1,20,276069,126.4164,117.93599999999999,-8.480400000000003
p1_threshold,1,21,348087,104.0506,98.19000000000001,-5.860599999999991
p1_threshold,1,22,380095,114.25130000000001,104.94000000000001,-9.311300000000003
p1_threshold,1,23,392098,140.6174,117.69300000000001,-22.92439999999999
p1_threshold,1,24,396099,165.6663,128.565,-37.10130000000001
p1_threshold,1,25,432108,162.84810000000002,116.775,-46.07310000000001
p1_threshold,1,26,436109,145.8714,124.596,-21.27539999999999
p1_threshold,1,27,456114,131.28609999999998,128.349,-2.9370999999999867
p1_threshold,1,28,492123,131.66549999999998,113.52600000000001,-18.13949999999997
p1_threshold,1,29,512128,113.1132,88.92000000000002,-24.19319999999999
p1_threshold,2,0,12003,144.8161,138.096,-6.720100000000002
p1_threshold,2,1,28007,140.36769999999999,112.185,-28.182699999999983
p1_threshold,2,2,36009,143.63760000000002,128.412,-15.225600000000014
p1_threshold,2,3,56014,134.9298,122.247,-12.6828
p1_threshold,2,4,60015,158.9488,136.07999999999998,-22.86880000000002
p1_threshold,2,5,76019,134.2339,133.614,-0.6199000000000012
p1_threshold,2,6,84021,151.96179999999998,150.291,-1.6707999999999856
p1_threshold,2,7,96024,145.26579999999998,131.976,-13.289799999999985
p1_threshold,2,8,116029,141.87339999999998,136.152,-5.7213999999999885
p1_threshold,2,9,120030,141.5045,122.03999999999999,-19.464500000000015
p1_threshold,2,10,148037,132.8416,122.697,-10.144599999999997
p1_threshold,2,11,152038,159.4724,138.58200000000002,-20.89039999999997
p1_threshold,2,12,180045,173.0938,128.90699999999998,-44.186800000000005
p1_threshold,2,13,184046,136.9576,132.41700000000003,-4.5405999999999835
p1_threshold,2,14,192048,150.5362,134.91899999999998,-15.617200000000025
p1_threshold,2,15,224056,148.23409999999998,128.745,-19.48909999999998
p1_threshold,2,16,240060,130.47279999999998,118.728,-11.744799999999984
p1_threshold,2,17,248062,139.0619,115.965,-23.096900000000005
p1_threshold,2,18,256064,146.2625,125.361,-20.901499999999984
p1_threshold,2,19,260065,144.3621,108.26100000000001,-36.10109999999999
p1_threshold,2,20,276069,130.7804,129.618,-1.162399999999991
p1_threshold,2,21,348087,106.52059999999999,117.234,10.713400000000007
p1_threshold,2,22,380095,118.01409999999998,104.45400000000001,-13.560099999999977
p1_threshold,2,23,392098,147.4042,121.338,-26.06620000000001
p1_threshold,2,24,396099,175.03339999999997,144.603,-30.430399999999963
p1_threshold,2,25,432108,162.20440000000002,118.773,-43.431400000000025
p1_threshold,2,26,436109,135.7148,126.576,-9.138800000000003
p1_threshold,2,27,456114,138.3277,133.236,-5.091700000000003
p1_threshold,2,28,492123,133.6526,120.024,-13.628600000000006
p1_threshold,2,29,512128,121.073,99.56700000000002,-21.505999999999972
p1_threshold,5,0,12003,145.7387,854.9100000000001,709.1713000000001
p1_threshold,5,1,28007,149.1845,804.375,655.1904999999999
p1_threshold,5,2,36009,144.91989999999998,836.73,691.8101
p1_threshold,5,3,56014,147.02640000000002,769.005,621.9785999999999
p1_threshold,5,4,60015,160.96729999999997,814.7070000000001,653.7397000000001
p1_threshold,5,5,76019,138.9578,868.509,729.5512
p1_threshold,5,6,84021,160.90009999999995,960.1650000000001,799.2649000000001
p1_threshold,5,7,96024,152.70239999999998,829.359,676.6566
p1_threshold,5,8,116029,154.90089999999998,817.596,662.6951
p1_threshold,5,9,120030,141.2495,809.019,667.7695
p1_threshold,5,10,148037,147.5295,819.2520000000001,671.7225000000001
p1_threshold,5,11,152038,155.8427,833.8679999999999,678.0252999999999
p1_threshold,5,12,180045,169.5322,834.6510000000001,665.1188000000001
p1_threshold,5,13,184046,161.83350000000002,860.1389999999999,698.3054999999999
p1_threshold,5,14,192048,162.6674,872.6220000000001,709.9546
p1_threshold,5,15,224056,160.3029,852.9839999999999,692.6810999999999
p1_threshold,5,16,240060,138.6522,803.3489999999999,664.6967999999999
p1_threshold,5,17,248062,140.1091,856.701,716.5919
p1_threshold,5,18,256064,143.8467,878.211,734.3643
p1_threshold,5,19,260065,150.5024,786.924,636.4216
p1_threshold,5,20,276069,139.923,870.048,730.125
p1_threshold,5,21,348087,119.9916,826.83,706.8384000000001
p1_threshold,5,22,380095,123.1055,783.7919999999999,660.6864999999999
p1_threshold,5,23,392098,138.84629999999999,828.4590000000001,689.6127000000001
p1_threshold,5,24,396099,179.3493,869.706,690.3567
p1_threshold,5,25,432108,158.36870000000002,829.251,670.8823
p1_threshold,5,26,436109,138.38,930.627,792.247
p1_threshold,5,27,456114,148.37269999999998,874.719,726.3463
p1_threshold,5,28,492123,150.18599999999998,781.7130000000002,631.5270000000003
p1_threshold,5,29,512128,114.71609999999998,723.5010000000001,608.7849000000001
p1_threshold,10,0,12003,150.3218,1196.478,1046.1562000000001
p1_threshold,10,1,28007,147.01839999999999,1052.676,905.6576
p1_threshold,10,2,36009,139.5478,1127.0880000000002,987.5402000000001
p1_threshold,10,3,56014,140.99259999999998,985.617,844.6243999999999
p1_threshold,10,4,60015,154.8906,1089.8639999999998,934.9733999999999
p1_threshold,10,5,76019,150.1882,1156.446,1006.2577999999999
p1_threshold,10,6,84021,165.3539,1265.22,1099.8661
p1_threshold,10,7,96024,158.91369999999998,1143.7649999999999,984.8512999999999
p1_threshold,10,8,116029,159.9548,1117.5659999999998,957.6111999999998
p1_threshold,10,9,120030,150.09120000000001,1116.6750000000002,966.5838000000001
p1_threshold,10,10,148037,144.62689999999998,1098.3419999999999,953.7150999999999
p1_threshold,10,11,152038,168.8005,1119.924,951.1234999999999
p1_threshold,10,12,180045,172.0389,1126.368,954.3290999999999
p1_threshold,10,13,184046,160.5702,1162.692,1002.1218
p1_threshold,10,14,192048,172.60879999999997,1155.924,983.3152
p1_threshold,10,15,224056,162.52759999999998,1129.536,967.0084
p1_threshold,10,16,240060,147.40159999999997,1057.185,909.7834
p1_threshold,10,17,248062,141.0806,1139.9759999999999,998.8953999999999
p1_threshold,10,18,256064,140.1241,1165.077,1024.9529
p1_threshold,10,19,260065,151.7956,1057.5720000000001,905.7764000000001
p1_threshold,10,20,276069,142.89600000000002,1139.589,996.693
p1_threshold,10,21,348087,113.0954,1046.5739999999998,933.4785999999998
p1_threshold,10,22,380095,131.6652,1066.4279999999999,934.7627999999999
p1_threshold,10,23,392098,162.4286,1110.447,948.0183999999999
p1_threshold,10,24,396099,177.0731,1199.043,1021.9698999999998
p1_threshold,10,25,432108,160.6234,1117.161,956.5376000000001
p1_threshold,10,26,436109,137.53480000000002,1204.4160000000002,1066.8812000000003
p1_threshold,10,27,456114,144.30899999999997,1147.4279999999999,1003.1189999999999
p1_threshold,10,28,492123,144.2144,1067.2649999999999,923.0505999999998
p1_threshold,10,29,512128,125.5334,908.4869999999999,782.9535999999998
p1_threshold,20,0,12003,164.78699999999998,1379.2589999999998,1214.4719999999998
p1_threshold,20,1,28007,154.6114,1222.902,1068.2906
