cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
clean,0,12003,rossi,4001.0,135.0,1062.27,1449.0,127.0,1506.0,0.033741564608847786,0.2655011247188203,0.36215946013496625,0.03174206448387903,0.3765
clean,0,12003,threshold,4001.0,2.0,1425.9,32.0,0.0,59.0,0.0004998750312421895,0.356385903524119,0.007998000499875032,0.0,0.01475
clean,1,28007,rossi,4001.0,126.0,883.15,1052.0,86.0,1127.0,0.031492126968257934,0.2207323169207698,0.26293426643339163,0.021494626343414147,0.28175
clean,1,28007,threshold,4001.0,1.0,1212.8000000000002,26.0,0.0,49.0,0.00024993751562109475,0.30312421894526376,0.006498375406148463,0.0,0.01225
clean,2,36009,rossi,4001.0,122.0,1004.17,1854.0,97.0,1975.0,0.030492376905773555,0.25097975506123466,0.4633841539615096,0.02424393901524619,0.49375
clean,2,36009,threshold,4001.0,2.0,1298.5,28.0,0.0,51.0,0.0004998750312421895,0.3245438640339915,0.0069982504373906525,0.0,0.01275
clean,3,56014,rossi,4001.0,129.0,912.22,1627.0,98.0,1622.0,0.03224193951512122,0.22799800049987504,0.40664833791552113,0.024493876530867282,0.4055
clean,3,56014,threshold,4001.0,1.0,1151.9,21.0,0.0,41.0,0.00024993751562109475,0.28790302424393904,0.005248687828042989,0.0,0.01025
clean,4,60015,rossi,4001.0,139.0,1006.23,1330.0,123.0,1356.0,0.034741314671332166,0.25149462634341413,0.332416895776056,0.03074231442139465,0.339
clean,4,60015,threshold,4001.0,1.0,1351.1,33.0,0.0,63.0,0.00024993751562109475,0.33769057735566105,0.008247938015496127,0.0,0.01575
clean,5,76019,rossi,4001.0,118.0,1110.35,1641.0,95.0,1588.0,0.02949262684328918,0.2775181204698825,0.41014746313421646,0.023744063984004,0.397
clean,5,76019,threshold,4001.0,3.0,1375.9,32.0,0.0,57.0,0.0007498125468632841,0.34388902774306424,0.007998000499875032,0.0,0.01425
clean,6,84021,rossi,4001.0,138.0,1159.51,1312.0,97.0,1370.0,0.03449137715571107,0.28980504873781554,0.3279180204948763,0.02424393901524619,0.3425
clean,6,84021,threshold,4001.0,2.0,1539.2000000000003,25.0,0.0,45.0,0.0004998750312421895,0.38470382404398906,0.006248437890527368,0.0,0.01125
clean,7,96024,rossi,4001.0,143.0,1032.83,1574.0,93.0,1649.0,0.035741064733816545,0.25814296425893524,0.3934016495876031,0.02324418895276181,0.41225
clean,7,96024,threshold,4001.0,1.0,1376.8000000000002,28.0,0.0,53.0,0.00024993751562109475,0.34411397150712325,0.0069982504373906525,0.0,0.01325
clean,8,116029,rossi,4001.0,121.0,1006.78,1229.0,99.0,1352.0,0.030242439390152462,0.25163209197700576,0.30717320669832543,0.02474381404648838,0.338
clean,8,116029,threshold,4001.0,2.0,1344.8000000000002,33.0,0.0,61.0,0.0004998750312421895,0.3361159710072482,0.008247938015496127,0.0,0.01525
clean,9,120030,rossi,4001.0,122.0,975.92,1621.0,106.0,1736.0,0.030492376905773555,0.24391902024493875,0.40514871282179454,0.02649337665583604,0.434
clean,9,120030,threshold,4001.0,2.0,1295.6,36.0,0.0,69.0,0.0004998750312421895,0.3238190452386903,0.00899775056235941,0.0,0.01725
clean,10,148037,rossi,4001.0,133.0,970.39,1483.0,103.0,1534.0,0.0332416895776056,0.2425368657835541,0.3706573356660835,0.025743564108972758,0.3835
clean,10,148037,threshold,4001.0,2.0,1291.4,31.0,0.0,57.0,0.0004998750312421895,0.32276930767308176,0.007748062984253936,0.0,0.01425
clean,11,152038,rossi,4001.0,126.0,1029.69,1198.0,90.0,1213.0,0.031492126968257934,0.257358160459885,0.2994251437140715,0.022494376405898527,0.30325
clean,11,152038,threshold,4001.0,2.0,1372.0000000000002,35.0,0.0,65.0,0.0004998750312421895,0.34291427143214204,0.008747813046738315,0.0,0.01625
clean,12,180045,rossi,4001.0,132.0,999.88,1051.0,103.0,1117.0,0.03299175206198451,0.24990752311922018,0.26268432891777055,0.025743564108972758,0.27925
clean,12,180045,threshold,4001.0,0.0,1337.5,28.0,0.0,56.0,0.0,0.3342914271432142,0.0069982504373906525,0.0,0.014
clean,13,184046,rossi,4001.0,139.0,1084.8899999999999,1676.0,73.0,1676.0,0.034741314671332166,0.27115471132216945,0.41889527618095473,0.018245438640339916,0.419
clean,13,184046,threshold,4001.0,2.0,1383.0,31.0,0.0,57.0,0.0004998750312421895,0.345663584103974,0.007748062984253936,0.0,0.01425
clean,14,192048,rossi,4001.0,122.0,1035.5700000000002,1490.0,90.0,1582.0,0.030492376905773555,0.2588277930517371,0.37240689827543116,0.022494376405898527,0.3955
clean,14,192048,threshold,4001.0,2.0,1410.2000000000003,32.0,0.0,59.0,0.0004998750312421895,0.35246188452886784,0.007998000499875032,0.0,0.01475
clean,15,224056,rossi,4001.0,132.0,1049.08,1958.0,116.0,1994.0,0.03299175206198451,0.26220444888777805,0.48937765558610347,0.02899275181204699,0.4985
clean,15,224056,threshold,4001.0,1.0,1374.0,30.0,0.0,57.0,0.00024993751562109475,0.34341414646338414,0.007498125468632842,0.0,0.01425
clean,16,240060,rossi,4001.0,122.0,909.0,1263.0,98.0,1304.0,0.030492376905773555,0.2271932016995751,0.3156710822294426,0.024493876530867282,0.326
