cell,churn_variant,churn_weight,w_sla,w_resource,w_churn,rossi_mean_score,threshold_mean_score,delta_threshold_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,rossi_wins,threshold_wins,holm_less_than_zero_within_cell_variant,holm_greater_than_zero_within_cell_variant
clean,adaptation_nonnoop,0.01,0.9,0.09,0.01,217.61743333333334,118.57816666666669,-99.03926666666665,-103.5126190833333,-94.63212925,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,adaptation_nonnoop,0.05,0.8636363636363636,0.08636363636363635,0.05,267.53322727272723,114.98174242424241,-152.55148484848485,-160.45354178030303,-144.93542473484845,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,adaptation_nonnoop,0.1,0.8181818181818182,0.08181818181818182,0.1,329.92796969696974,110.48621212121212,-219.44175757575763,-232.27743659090908,-205.95921386363642,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,adaptation_nonnoop,0.2,0.7272727272727274,0.07272727272727272,0.2,454.7174545454545,101.49515151515152,-353.22230303030307,-377.94708242424247,-328.4403872727273,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,adaptation_nonnoop,0.3,0.6363636363636364,0.06363636363636364,0.3,579.5069393939393,92.50409090909093,-487.00284848484836,-523.7703075757574,-453.2564481818181,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,source_vertical,0.01,0.9,0.09,0.01,204.0891,118.2825,-85.80659999999997,-89.86995449999998,-81.73389775000001,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,source_vertical,0.05,0.8636363636363636,0.08636363636363635,0.05,199.89156060606055,113.50340909090909,-86.38815151515149,-90.37906628787879,-82.4992384090909,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,source_vertical,0.1,0.8181818181818182,0.08181818181818182,0.1,194.6446363636364,107.52954545454547,-87.11509090909091,-90.98910257575757,-83.03058424242424,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,source_vertical,0.2,0.7272727272727274,0.07272727272727272,0.2,184.1507878787879,95.58181818181818,-88.56896969696972,-92.58880666666667,-84.4554090909091,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,source_vertical,0.3,0.6363636363636364,0.06363636363636364,0.3,173.6569393939394,83.63409090909092,-90.02284848484848,-94.15241901515151,-85.86409325757576,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,action_change,0.01,0.9,0.09,0.01,218.14843333333332,118.8375,-99.31093333333334,-103.69530824999998,-94.76896191666667,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,action_change,0.05,0.8636363636363636,0.08636363636363635,0.05,270.18822727272726,116.27840909090907,-153.90981818181817,-161.6721649242424,-146.2068429166667,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,action_change,0.1,0.8181818181818182,0.08181818181818182,0.1,335.2379696969698,113.07954545454547,-222.15842424242425,-234.88184363636364,-209.4194684090909,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,action_change,0.2,0.7272727272727274,0.07272727272727272,0.2,465.3374545454545,106.6818181818182,-358.65563636363635,-383.8165242424243,-334.8079206060606,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
clean,action_change,0.3,0.6363636363636364,0.06363636363636364,0.3,595.4369393939393,100.2840909090909,-495.1528484848484,-530.3290791666666,-461.20699378787873,9.99990000099999e-06,1.0,0,30,4.9999500004999955e-05,1.0
p1_lag_k10,adaptation_nonnoop,0.01,0.9,0.09,0.01,156.2237033333333,1134.6686333333334,978.44493,955.5510009999999,1000.3202223333334,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,adaptation_nonnoop,0.05,0.8636363636363636,0.08636363636363635,0.05,177.569546969697,1165.487409090909,987.917862121212,965.39759625,1009.5550331060606,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
p1_lag_k10,adaptation_nonnoop,0.1,0.8181818181818182,0.08181818181818182,0.1,204.2518515151515,1204.0108787878787,999.7590272727273,977.4682306060607,1021.3928034090909,1.0,9.99990000099999e-06,30,0,1.0,4.9999500004999955e-05
