hpa_total_cost,hpa_sla_violation_rate,hpa_action_churn,hpa_mean_replicas,hpa_replica_std,hpa_replica_min,hpa_replica_max,config_key,config_label,target_utilization,scale_down_stabilization_seconds,cell,cell_label,seed_index,offset,rossi_total_cost,delta_hpa_minus_rossi
177.534,0.00024993751562109475,85.0,4.905273681579605,1.7931733919580282,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,0,12003,218.3743,-40.84030000000001
147.87900000000002,0.00024993751562109475,87.0,4.081729567608098,1.7754662874055396,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,1,28007,193.74349999999998,-45.864499999999964
164.25900000000001,0.00024993751562109475,109.0,4.53661584603849,1.86369340460341,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,2,36009,201.1453,-36.88629999999998
142.83900000000003,0.00024993751562109475,103.0,3.9417645588602848,1.8915505001796618,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,3,56014,199.1798,-56.34079999999997
168.624,0.00024993751562109475,117.0,4.657835541114721,2.0861582394191815,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,4,60015,216.89069999999998,-48.266699999999986
173.07899999999998,0.00024993751562109475,123.0,4.781554611347163,1.969213099824705,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,5,76019,207.0815,-34.002500000000026
198.68400000000003,0.00024993751562109475,109.0,5.492626843289178,1.808090380833586,1.0,9.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,6,84021,229.52589999999998,-30.841899999999953
175.10399999999998,0.00024993751562109475,113.0,4.837790552361909,1.937264377622094,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,7,96024,222.5847,-47.48070000000001
168.17399999999998,0.00024993751562109475,109.0,4.645338665333667,1.966206347176511,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,8,116029,200.50019999999998,-32.3262
163.94400000000002,0.00024993751562109475,101.0,4.527868032991752,1.8259113315089324,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,9,120030,198.69279999999998,-34.74879999999996
158.769,0.00024993751562109475,87.0,4.3841539615096226,1.82038742791006,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,10,148037,208.0651,-49.296099999999996
172.224,0.00024993751562109475,125.0,4.757810547363159,2.005760164286739,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,11,152038,206.97209999999998,-34.748099999999994
163.044,0.0,110.0,4.527868032991752,1.8944361843214035,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,12,180045,209.81920000000002,-46.77520000000001
174.789,0.00024993751562109475,127.0,4.829042739315171,1.8891463918660245,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,13,184046,223.47009999999997,-48.68109999999999
175.419,0.00024993751562109475,113.0,4.846538365408648,1.8444763798463981,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,14,192048,203.9013,-28.48229999999998
170.559,0.00024993751562109475,99.0,4.711572106973256,1.8647839547953722,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,15,224056,214.37720000000002,-43.81820000000002
149.454,0.00024993751562109475,101.0,4.125468632841789,1.7491394496651094,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,16,240060,192.58999999999997,-43.13599999999997
155.079,0.0,109.0,4.306673331667083,1.5771988037322686,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,17,248062,182.12969999999999,-27.050699999999978
163.269,0.00024993751562109475,97.0,4.50912271932017,1.6308937125425438,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,18,256064,195.54919999999998,-32.28019999999998
141.489,0.00024993751562109475,99.0,3.9042739315171207,1.6370443642064711,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,19,260065,204.02569999999997,-62.53669999999997
165.114,0.00024993751562109475,121.0,4.560359910022495,1.7814670539239108,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,20,276069,209.8825,-44.76849999999999
135.729,0.00024993751562109475,85.0,3.74431392151962,1.4374775476520116,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,21,348087,169.67329999999998,-33.94429999999997
141.714,0.00024993751562109475,107.0,3.9105223694076483,1.5707879896201462,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,22,380095,188.1717,-46.45769999999999
160.43400000000003,0.00024993751562109475,97.0,4.4303924018995255,1.7342041993176647,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,23,392098,223.3544,-62.92039999999997
174.024,0.0,112.0,4.8327918020494876,1.8052616670364323,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,24,396099,235.05129999999997,-61.02729999999997
159.12900000000002,0.0,78.0,4.419145213696575,1.848829042110431,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,25,432108,224.47140000000002,-65.3424
171.99900000000002,0.00024993751562109475,119.0,4.751562109472632,1.6436507497814536,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,26,436109,197.60339999999997,-25.60439999999994
170.739,0.00024993751562109475,115.0,4.716570857285679,1.8635395469722955,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,27,456114,186.01019999999997,-15.271199999999965
154.44899999999998,0.00024993751562109475,83.0,4.264183954011497,1.8858818236011803,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,28,492123,193.3589,-38.90990000000002
121.32900000000001,0.00024993751562109475,87.0,3.3444138965258685,1.4955902564182024,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,clean,Clean,29,512128,166.4776,-45.14859999999999
176.454,0.00024993751562109475,91.0,4.875281179705074,1.7575321042285,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,0,12003,150.3218,26.13220000000001
149.364,0.00024993751562109475,87.0,4.122969257685579,1.8344027700927465,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,1,28007,147.01839999999999,2.345600000000019
164.304,0.00024993751562109475,113.0,4.537865533616596,1.8903002497369914,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,2,36009,139.5478,24.756200000000007
142.704,0.00024993751562109475,105.0,3.9380154961259684,1.9003300100832499,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,3,56014,140.99259999999998,1.711400000000026
167.409,0.00024993751562109475,95.0,4.624093976505874,2.054045899931755,1.0,9.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,4,60015,154.8906,12.518399999999986
174.29399999999998,0.00024993751562109475,99.0,4.815296175956011,1.9506856935034824,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,5,76019,150.1882,24.105799999999988
202.734,0.00024993751562109475,117.0,5.60509872531867,1.782055012193578,1.0,9.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,6,84021,165.3539,37.3801
175.779,0.00024993751562109475,105.0,4.856535866033491,1.9646750137868494,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,7,96024,158.91369999999998,16.86530000000002
170.60399999999998,0.00024993751562109475,107.0,4.712821794551362,1.9960616210393238,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,8,116029,159.9548,10.64919999999998
162.999,0.00024993751562109475,93.0,4.501624593851537,1.8220126035659312,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,9,120030,150.09120000000001,12.90779999999998
159.44400000000002,0.00024993751562109475,87.0,4.402899275181205,1.8520998956849155,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,10,148037,144.62689999999998,14.817100000000039
169.659,0.00024993751562109475,99.0,4.6865783554111475,1.935795828089673,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,11,152038,168.8005,0.8584999999999923
162.90900000000002,0.0,100.0,4.524118970257436,1.912215073735296,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,12,180045,172.0389,-9.129899999999992
176.139,0.00024993751562109475,127.0,4.866533366658335,1.8921646684857323,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,13,184046,160.5702,15.56880000000001
174.744,0.00024993751562109475,101.0,4.827793051737066,1.8519530017474901,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,14,192048,172.60879999999997,2.135200000000026
170.559,0.00024993751562109475,99.0,4.711572106973256,1.906536082245379,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,15,224056,162.52759999999998,8.03140000000002
148.50900000000001,0.00024993751562109475,99.0,4.0992251937015745,1.751894578983322,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,16,240060,147.40159999999997,1.107400000000041
153.00900000000001,0.0,97.0,4.249187703074232,1.5006921555643264,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,17,248062,141.0806,11.92840000000001
162.59400000000002,0.00024993751562109475,105.0,4.490377405648588,1.5889740944587964,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,18,256064,140.1241,22.469900000000024
142.56900000000002,0.00024993751562109475,121.0,3.934266433391652,1.6430925353508152,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,19,260065,151.7956,-9.22659999999999
166.059,0.00024993751562109475,105.0,4.58660334916271,1.7845907916957682,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,20,276069,142.89600000000002,23.162999999999982
134.784,0.00024993751562109475,79.0,3.7180704823794053,1.4827158407681749,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,21,348087,113.0954,21.688599999999994
142.659,0.00024993751562109475,109.0,3.936765808547863,1.5297599145099998,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,22,380095,131.6652,10.993799999999993
160.704,0.00024993751562109475,91.0,4.437890527368158,1.8002482399884054,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,23,392098,162.4286,-1.724599999999981
176.31900000000002,0.0,120.0,4.8965258685328665,1.8193303539101928,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,24,396099,177.0731,-0.754099999999994
160.88400000000001,0.0,88.0,4.46788302924269,1.8844476529145822,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,25,432108,160.6234,0.2606000000000108
171.18900000000002,0.00024993751562109475,95.0,4.729067733066733,1.637805468904226,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,26,436109,137.53480000000002,33.6542
170.199,0.00024993751562109475,107.0,4.701574606348413,1.8611969284558199,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,27,456114,144.30899999999997,25.890000000000043
153.234,0.00024993751562109475,85.0,4.23044238940265,1.8532469878953408,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,28,492123,144.2144,9.019599999999997
122.139,0.00024993751562109475,65.0,3.366908272931767,1.5348471340504288,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p1,P1 lag k=10,29,512128,125.5334,-3.3944000000000045
177.534,0.00024993751562109475,85.0,4.905273681579605,1.7931733919580282,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,0,12003,242.7613,-65.22730000000001
147.87900000000002,0.00024993751562109475,87.0,4.081729567608098,1.7754662874055396,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,1,28007,209.0171,-61.13809999999998
164.25900000000001,0.00024993751562109475,109.0,4.53661584603849,1.86369340460341,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,2,36009,260.9325,-96.67349999999999
142.83900000000003,0.00024993751562109475,103.0,3.9417645588602848,1.8915505001796618,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,3,56014,233.107,-90.26799999999997
168.624,0.00024993751562109475,117.0,4.657835541114721,2.0861582394191815,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,4,60015,222.0885,-53.464500000000015
173.07899999999998,0.00024993751562109475,123.0,4.781554611347163,1.969213099824705,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,5,76019,236.48680000000002,-63.40780000000004
198.68400000000003,0.00024993751562109475,109.0,5.492626843289178,1.808090380833586,1.0,9.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,6,84021,241.2127,-42.528699999999986
175.10399999999998,0.00024993751562109475,113.0,4.837790552361909,1.937264377622094,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,7,96024,236.279,-61.17500000000001
168.17399999999998,0.00024993751562109475,109.0,4.645338665333667,1.966206347176511,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,8,116029,233.46280000000002,-65.28880000000004
163.94400000000002,0.00024993751562109475,101.0,4.527868032991752,1.8259113315089324,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,9,120030,227.5058,-63.56179999999998
158.769,0.00024993751562109475,87.0,4.3841539615096226,1.82038742791006,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,10,148037,202.27280000000002,-43.50380000000001
