block_start_tick,block_end_tick,l1_q_change
0,99,6089.159835997681
100,199,1904.453640798951
200,299,243.90714982571416
300,399,28.681662431330295
400,499,931.3208343263741
500,599,204.21515690818882
600,699,84.44265460780295
700,799,42.083235791261586
800,899,2129.056333234771
900,999,208.42995991826479
1000,1099,631.8546190465972
1100,1199,1364.301782709338
1200,1299,266.8842074147508
1300,1399,1011.344122310197
1400,1499,27.597350432527655
1500,1599,109.70556969402116
1600,1699,99.18369275990429
1700,1799,212.7545265417083
1800,1899,29.519028893134987
1900,1999,54.308783226878816
2000,2099,21.034630461060516
2100,2199,108.98847337072414
2200,2299,89.2647649858124
2300,2399,297.59525600964
2400,2499,359.21718765219435
2500,2599,295.5386907905624
2600,2699,668.2956452759176
2700,2799,337.91683579925734
2800,2899,586.6966507020816
2900,2999,12.632524204297333
3000,3099,97.05645416182576
3100,3199,186.10633351180894
3200,3299,208.5655958264746
3300,3399,702.9221528952303
3400,3499,815.3231446661996
3500,3599,456.8881537158222
3600,3699,311.79298987128465
3700,3799,204.95789945124466
3800,3899,254.45405578718373
3900,3999,286.04603001639236
4000,4000,2.609469619547393
