window_index,offset,clean_delta_hpa_minus_rossi,p1_k10_delta_hpa_minus_rossi,p2_alpha_1_5_delta_hpa_minus_rossi,p3_epsilon_0_05_delta_hpa_minus_rossi
0,12003,-88.2433,1046.1562000000001,-112.6303,-70.71000000000001
1,28007,-83.69149999999999,905.6576,-98.0651,-88.81719999999999
2,36009,-82.48029999999999,987.5402000000001,-139.5675,-95.63249999999995
3,56014,-94.6088,844.6243999999999,-128.536,-85.78450000000001
4,60015,-94.39169999999999,934.9733999999999,-98.68950000000001,-79.70289999999997
5,76019,-80.55050000000003,1006.2577999999999,-109.95580000000004,-87.88839999999999
6,84021,-89.1979,1099.8661,-99.9847,-97.5815
7,96024,-97.77270000000001,984.8512999999999,-110.56700000000001,-95.84850000000003
8,116029,-77.66819999999997,957.6111999999998,-110.63080000000001,-94.34859999999996
9,120030,-80.28879999999998,966.5838000000001,-108.20179999999999,-103.94149999999999
10,148037,-90.03910000000002,953.7150999999999,-81.54680000000002,-91.5985
11,152038,-81.69209999999998,951.1234999999999,-102.62560000000002,-108.45909999999995
12,180045,-89.44420000000002,954.3290999999999,-129.13559999999998,-99.82319999999999
13,184046,-97.20009999999998,1002.1218,-81.81290000000001,-84.49399999999996
14,192048,-75.1833,983.3152,-81.29500000000004,-96.59769999999997
15,224056,-89.81720000000001,967.0084,-135.2989,-100.24619999999996
16,240060,-81.74599999999998,909.7834,-110.2312,-83.26369999999997
17,248062,-72.39269999999998,998.8953999999999,-135.8614,-75.301
18,256064,-76.28119999999998,1024.9529,-94.92999999999998,-100.77559999999997
19,260065,-101.25469999999997,905.7764000000001,-106.73409999999997,-84.90749999999998
20,276069,-91.7305,996.693,-116.26060000000001,-94.6925
21,348087,-71.18629999999997,933.4785999999998,-97.23309999999996,-79.24199999999998
22,380095,-83.24969999999998,934.7627999999999,-65.42929999999996,-82.94869999999999
23,392098,-103.3664,948.0183999999999,-105.1328,-90.49789999999999
24,396099,-106.30629999999996,1021.9698999999998,-146.90419999999995,-108.80539999999999
25,432108,-106.85040000000004,956.5376000000001,-128.2776,-125.47290000000004
26,436109,-72.95339999999996,1066.8812000000003,-97.44669999999996,-77.48129999999998
27,456114,-58.165199999999984,1003.1189999999999,-82.93570000000001,-86.83549999999998
28,492123,-79.6259,923.0505999999998,-100.30429999999998,-89.88499999999999
29,512128,-76.8196,782.9535999999998,-63.1332,-68.4655
